No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
8,Deni Avdija,SF,6-8,228,"January 3, 2001",il IL,4,
2,Deandre Ayton,C,7-0,252,"July 23, 1998",bs BS,6,Arizona
5,Dalano Banton,PG,6-8,203,"November 7, 1999",ca CA,3,Nebraska
33,Toumani Camara,PF,6-7,230,"May 8, 2000",be BE,1,Dayton
91,Sidy Cissoko,SF,6-6,220,"April 2, 2004",fr FR,1,
23,Donovan Clingan,C,7-2,280,"February 23, 2004",us US,R,UConn
9,Jerami Grant,PF,6-7,213,"March 12, 1994",us US,10,Syracuse
0,Scoot Henderson,PG,6-3,207,"February 3, 2004",us US,1,
11,Bryce McGowens,SG,6-6,190,"November 8, 2002",us US,2,Nebraska
10,Justin Minaya,SF,6-5,205,"March 26, 1999",us US,2,"South Carolina, Providence"
76,Taze Moore,SG,6-5,195,"June 29, 1998",us US,1,"Cal State-Bakersfield, Houston"
24,Kris Murray,SF,6-8,218,"August 19, 2000",us US,1,Iowa
26,Duop Reath,C,6-9,245,"June 26, 1996",ss SS,1,"Lee College, LSU"
21,Rayan Rupert,SG,6-7,205,"May 31, 2004",fr FR,1,
17,Shaedon Sharpe,SG,6-5,210,"May 30, 2003",ca CA,2,Kentucky
1,Anfernee Simons,SG,6-3,200,"June 8, 1999",us US,6,
4,Matisse Thybulle,SG,6-5,202,"March 4, 1997",us US,5,Washington
34,Jabari Walker,PF,6-7,237,"July 30, 2002",us US,2,Colorado
35,Robert Williams,C,6-9,249,"October 17, 1997",us US,6,Texas A&M
