No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7.0,Kel'el Ware,C,7-0,230,"April 20, 2004",us US,1,"Oregon, Indiana"
12.0,Dru Smith,SG,6-2,203,"December 30, 1997",us US,3,"University of Evansville, Missouri"
11.0,Jaime Jaquez Jr.,SF,6-6,225,"February 18, 2001",us US,2,UCLA
45.0,Davion Mitchell,PG,6-0,202,"September 5, 1998",us US,4,"Auburn, Baylor"
0.0,Simone Fontecchio,SF,6-7,209,"December 9, 1995",it IT,3,
9.0,Pelle Larsson,SG,6-5,215,"February 23, 2001",se SE,1,"Utah, Arizona"
22.0,Andrew Wiggins,SF,6-6,197,"February 23, 1995",ca CA,11,Kansas
24.0,Norman Powell,SG,6-3,215,"May 25, 1993",us US,10,UCLA
13.0,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,8,Kentucky
5.0,Nikola Jović,PF,6-10,205,"June 9, 2003",gb GB,3,
16.0,Keshad Johnson,SF,6-6,225,"June 23, 2001",us US,1,"San Diego State, Arizona"
14.0,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,6,Kentucky
17.0,Jahmir Young (TW),PG,6-0,185,"October 7, 2000",us US,1,"UNC Charlotte, Maryland"
15.0,Myron Gardner (TW),SF,6-5,220,"May 21, 2001",us US,R,"South Plains College, Georgetown, Little Rock"
25.0,Kasparas Jakučionis,PG,6-5,200,"May 29, 2006",lt LT,R,Illinois
,Vladislav Goldin (TW),C,7-0,250,"May 12, 2001",ru RU,R,"Texas Tech, Florida Atlantic University, Michigan"
,Terry Rozier,PG,6-1,190,"March 17, 1994",us US,10,Louisville
