No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Precious Achiuwa,C,6-8,243,"September 19, 1999",ng NG,4,Memphis
8,OG Anunoby,PF,6-7,240,"July 17, 1997",gb GB,7,Indiana
14,MarJon Beauchamp,SF,6-7,199,"October 12, 2000",us US,2,Yakima Valley Community College
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,6,Villanova
11,Jalen Brunson,PG,6-2,190,"August 31, 1996",us US,6,Villanova
4,Pacome Dadiet,SG,6-9,210,"July 27, 2005",fr FR,R,
3,Josh Hart,SG,6-5,215,"March 6, 1995",us US,7,Villanova
55,Ariel Hukporti,C,7-0,246,"April 11, 2002",de DE,R,
13,Tyler Kolek,PG,6-2,195,"March 27, 2001",us US,R,"George Mason, Marquette"
2,Miles McBride,SG,6-2,195,"September 8, 2000",us US,3,West Virginia
9,Kevin McCullar Jr.,SF,6-6,210,"March 15, 2001",us US,R,"Texas Tech, Kansas"
1,Cameron Payne,PG,6-2,183,"August 8, 1994",us US,9,Murray State
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",us US,6,Western Kentucky
37,Matt Ryan,SF,6-6,215,"April 17, 1997",us US,3,"Notre Dame, Vanderbilt, Chattanooga"
44,Landry Shamet,SG,6-5,190,"March 13, 1997",us US,6,Wichita State
20,Jericho Sims,C,6-10,250,"October 20, 1998",us US,3,Texas
0,Jacob Toppin,SF,6-9,200,"May 8, 2000",us US,1,"Rhode Island, Kentucky"
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us US,9,Kentucky
17,P.J. Tucker,SF,6-5,245,"May 5, 1985",us US,13,Texas
21,Anton Watson,SF,6-8,225,"October 6, 2000",us US,R,Gonzaga
0,Delon Wright,PG,6-4,185,"April 26, 1992",us US,9,Utah
