No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
25.0,Ajay Mitchell,SG,6-4,190,"June 25, 2002",be BE,1,UC Santa Barbara
2.0,Shai Gilgeous-Alexander,PG,6-6,195,"July 12, 1998",ca CA,7,Kentucky
22.0,Cason Wallace,SG,6-3,195,"November 7, 2003",us US,2,Kentucky
6.0,Jaylin Williams,PF,6-9,240,"June 29, 2002",us US,3,Arkansas
7.0,Chet Holmgren,PF,7-1,208,"May 1, 2002",us US,2,Gonzaga
55.0,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us US,7,
3.0,Chris Youngblood (TW),SG,6-4,221,"February 9, 2002",us US,R,"Kennesaw State University, South Florida, Alabama"
11.0,Isaiah Joe,SG,6-4,165,"July 2, 1999",us US,5,Arkansas
5.0,Luguentz Dort,SF,6-4,220,"April 19, 1999",ca CA,6,Arizona State
9.0,Alex Caruso,SG,6-5,186,"February 28, 1994",us US,8,Texas A&M
15.0,Branden Carlson (TW),C,7-0,220,"June 14, 1999",us US,1,Utah
13.0,Ousmane Dieng,C,6-9,185,"May 21, 2003",fr FR,3,
23.0,Brooks Barnhizer (TW),SG,6-5,230,"March 2, 2002",us US,R,Northwestern
21.0,Aaron Wiggins,SG,6-5,190,"January 2, 1999",us US,4,Maryland
8.0,Jalen Williams,SG,6-5,211,"April 14, 2001",us US,3,Santa Clara
34.0,Kenrich Williams,PF,6-7,210,"December 2, 1994",us US,7,TCU
,Nikola Topić,PG,6-6,200,"August 10, 2005",rs RS,R,
,Thomas Sorber,C,6-9,250,"December 25, 2005",us US,R,Georgetown
