No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,8,California
12,Torrey Craig,SF,6-5,221,"December 19, 1990",us US,7,USC Upstate
20,JD Davison,PG,6-1,195,"October 3, 2002",us US,2,Alabama
30,Sam Hauser,PF,6-7,217,"December 8, 1997",us US,3,"Marquette, Virginia"
4,Jrue Holiday,PG,6-4,220,"June 12, 1990",us US,15,UCLA
42,Al Horford,C,6-8,240,"June 3, 1986",do DO,17,Florida
40,Luke Kornet,C,7-1,250,"July 15, 1995",us US,7,Vanderbilt
44,Miles Norris,PF,6-7,220,"April 15, 2000",us US,R,"Oregon, City College of San Francisco, UC Santa Barbara"
13,Drew Peterson,PF,6-8,205,"November 9, 1999",us US,1,"Rice University, USC"
8,Kristaps Porziņģis,C,7-2,240,"August 2, 1995",lv LV,8,
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,4,Oregon
88,Neemias Queta,C,7-0,248,"July 13, 1999",pt PT,3,Utah State University
55,Baylor Scheierman,SG,6-6,205,"September 26, 2000",us US,R,"South Dakota State, Creighton"
44,Jaden Springer,SG,6-4,202,"September 25, 2002",us US,3,Tennessee
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",us US,7,Duke
26,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",us US,4,Michigan State
27,Jordan Walsh,PF,6-6,205,"March 3, 2004",us US,1,Arkansas
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,7,"Colorado-Colorado Springs, Colorado"
