No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
8.0,Deni Avdija,SF,6-8,228,"January 3, 2001",il IL,5,
33.0,Toumani Camara,PF,6-7,230,"May 8, 2000",be BE,2,Dayton
9.0,Jerami Grant,PF,6-7,213,"March 12, 1994",us US,11,Syracuse
24.0,Kris Murray,SF,6-8,218,"August 19, 2000",us US,2,Iowa
17.0,Shaedon Sharpe,SG,6-5,210,"May 30, 2003",ca CA,3,Kentucky
23.0,Donovan Clingan,C,7-2,280,"February 23, 2004",us US,1,UConn
91.0,Sidy Cissoko (TW),SF,6-6,220,"April 2, 2004",fr FR,2,
26.0,Duop Reath,C,6-9,245,"June 26, 1996",ss SS,2,"Lee College, LSU"
21.0,Rayan Rupert,SG,6-7,205,"May 31, 2004",fr FR,2,
2.0,Caleb Love (TW),SG,6-3,212,"September 27, 2001",us US,R,"UNC, Arizona"
35.0,Robert Williams,C,6-9,249,"October 17, 1997",us US,7,Texas A&M
16.0,Yang Hansen,C,7-1,270,"June 26, 2005",cn CN,R,
5.0,Jrue Holiday,PG,6-4,220,"June 12, 1990",us US,16,UCLA
1.0,Blake Wesley,SG,6-4,190,"March 16, 2003",us US,3,Notre Dame
4.0,Matisse Thybulle,SG,6-5,202,"March 4, 1997",us US,6,Washington
,Scoot Henderson,PG,6-3,207,"February 3, 2004",us US,2,
,Damian Lillard,PG,6-2,200,"July 15, 1990",us US,13,Weber State
