No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
45.0,Donovan Mitchell,SG,6-2,215,"September 7, 1996",us US,8,Louisville
32.0,Dean Wade,PF,6-9,228,"November 20, 1996",us US,6,Kansas State
4.0,Evan Mobley,PF,6-11,215,"June 18, 2001",us US,4,USC
9.0,Craig Porter Jr.,PG,6-1,180,"February 26, 2000",us US,2,"Vincennes University, Wichita State"
12.0,De'Andre Hunter,SF,6-7,221,"December 2, 1997",us US,6,Virginia
20.0,Jaylon Tyson,SG,6-6,215,"December 2, 2002",us US,1,"Texas, Texas Tech, California"
2.0,Lonzo Ball,PG,6-5,190,"October 27, 1997",us US,6,UCLA
3.0,Thomas Bryant,C,6-9,248,"July 31, 1997",us US,8,Indiana
24.0,Tyrese Proctor,PG,6-4,185,"April 1, 2004",au AU,R,Duke
35.0,Nae'Qwan Tomlin (TW),PF,6-8,210,"December 10, 2000",us US,1,"Monroe Community College, Chipola College, Kansas State, Memphis"
31.0,Jarrett Allen,C,6-9,243,"April 21, 1998",us US,8,Texas
22.0,Larry Nance Jr.,PF,6-6,245,"January 1, 1993",us US,10,Wyoming
10.0,Darius Garland,PG,6-1,192,"January 26, 2000",us US,6,Vanderbilt
5.0,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,5,Utah State University
33.0,Luke Travers (TW),SG,6-6,207,"September 3, 2001",au AU,1,
8.0,Chris Livingston (TW),SF,6-6,220,"October 15, 2003",us US,2,Kentucky
,Chuma Okeke,F,6-7,229,"August 18, 1998",us US,5,Auburn
,Max Strus,SF,6-5,215,"March 28, 1996",us US,6,"Lewis (IL), DePaul"
