No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3.0,Keyonte George,PG,6-4,185,"November 8, 2003",us US,2,Baylor
19.0,Ace Bailey,SF,6-9,200,"August 13, 2006",us US,R,Rutgers University
23.0,Lauri Markkanen,PF,7-1,240,"May 22, 1997",fi FI,8,Arizona
22.0,Kyle Filipowski,C,6-11,250,"November 7, 2003",us US,1,Duke
10.0,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,7,Kansas
28.0,Brice Sensabaugh,SF,6-6,235,"October 30, 2003",us US,2,Ohio State
30.0,Jusuf Nurkić,C,6-11,290,"August 23, 1994",ba BA,11,
13.0,Walter Clayton,PG,6-4,195,"March 6, 2003",us US,R,"Iona College, Florida"
8.0,Isaiah Collier,PG,6-4,210,"October 8, 2004",us US,1,USC
42.0,Kevin Love,PF,6-10,251,"September 7, 1988",us US,17,UCLA
0.0,Taylor Hendricks,PF,6-9,215,"November 22, 2003",us US,2,Central Florida
5.0,Cody Williams,SG,6-8,190,"November 20, 2004",us US,1,Colorado
2.0,Kyle Anderson,SF,6-8,230,"September 20, 1993",us US,11,UCLA
16.0,Elijah Harkless (TW),SG,6-3,195,"February 3, 2000",us US,1,"Cal State Northridge, Oklahoma, UNLV"
24.0,Walker Kessler,C,7-2,245,"July 26, 2001",us US,3,"UNC, Auburn"
,Georges Niang,PF,6-6,230,"June 17, 1993",us US,9,Iowa State
,Oscar Tshiebwe (TW),C,6-8,255,"November 27, 1999",cd CD,2,"West Virginia, Kentucky"
,John Tonje (TW),SG,6-4,218,"April 23, 2001",us US,R,"Colorado State, Missouri, Wisconsin"
