No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Quentin Grimes,SG,6-4,210,"May 8, 2000",us US,4,"Kansas, Houston"
1,Andre Drummond,C,6-11,279,"August 10, 1993",us US,13,UConn
33,Jabari Walker (TW),PF,6-7,237,"July 30, 2002",us US,3,Colorado
0,Tyrese Maxey,PG,6-2,200,"November 4, 2000",us US,5,Kentucky
77,VJ Edgecombe,SG,6-4,180,"July 30, 2005",bs BS,R,Baylor
11,Justin Edwards,SF,6-7,203,"December 16, 2003",us US,1,Kentucky
30,Adem Bona,C,6-10,235,"March 28, 2003",ng NG,1,UCLA
25,Dominick Barlow (TW),PF,6-9,215,"May 26, 2003",us US,3,
20,Jared McCain,SG,6-3,195,"February 20, 2004",us US,1,Duke
12,Trendon Watford,PF,6-8,237,"November 9, 2000",us US,4,LSU
9,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",us US,10,Kansas
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm CM,9,Kansas
8,Paul George,PF,6-8,220,"May 2, 1990",us US,15,Fresno State
22,Johni Broome,C,6-10,235,"July 19, 2002",us US,R,"Morehead State University, Auburn"
45,Hunter Sallis (TW),SG,6-4,185,"March 26, 2003",us US,R,"Gonzaga, Wake Forest"
23,Eric Gordon,SG,6-3,215,"December 25, 1988",us US,17,Indiana
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,19,Villanova
