No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
15.0,Nikola Jokić,C,6-11,284,"February 19, 1995",rs RS,10,
10.0,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,12,Michigan
8.0,Peyton Watson,SF,6-8,200,"September 11, 2002",us US,3,UCLA
17.0,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,13,
11.0,Bruce Brown,SG,6-4,202,"August 15, 1996",us US,7,Miami (FL)
27.0,Jamal Murray,PG,6-4,215,"February 23, 1997",ca CA,8,Kentucky
23.0,Cameron Johnson,SF,6-8,210,"March 3, 1996",us US,6,"Pitt, UNC"
21.0,Spencer Jones (TW),SF,6-7,225,"June 14, 2001",us US,1,Stanford
22.0,Zeke Nnaji,PF,6-10,240,"January 9, 2001",us US,5,Arizona
32.0,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,11,Arizona
0.0,Christian Braun,SG,6-6,220,"April 17, 2001",us US,3,Kansas
24.0,Jalen Pickett,SG,6-2,202,"October 22, 1999",us US,2,"Siena College, Penn State"
3.0,Julian Strawther,SG,6-6,205,"April 18, 2002",us US,2,Gonzaga
5.0,Hunter Tyson,PF,6-8,215,"June 13, 2000",us US,2,Clemson
14.0,DaRon Holmes,PF,6-9,225,"August 15, 2002",us US,R,Dayton
1.0,Curtis Jones (TW),SG,6-3,195,"December 4, 2001",us US,R,"Indian Hills Community College, Buffalo, Iowa State"
,Tamar Bates (TW),SG,6-4,195,"February 21, 2003",us US,R,"Indiana, Missouri"
