No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Jarrett Allen,C,6-9,243,"April 21, 1998",us US,7,Texas
21,Emoni Bates,SF,6-9,202,"January 28, 2004",us US,1,"Memphis, Eastern Michigan"
10,Darius Garland,PG,6-1,192,"January 26, 2000",us US,5,Vanderbilt
8,Javonte Green,SG,6-5,205,"July 23, 1993",us US,5,Radford
12,De'Andre Hunter,SF,6-7,221,"December 2, 1997",us US,5,Virginia
2,Ty Jerome,SG,6-5,195,"July 8, 1997",us US,5,Virginia
3,Caris LeVert,SF,6-7,205,"August 25, 1994",us US,8,Michigan
5,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,4,Utah State University
45,Donovan Mitchell,SG,6-2,215,"September 7, 1996",us US,7,Louisville
4,Evan Mobley,PF,6-11,215,"June 18, 2001",us US,3,USC
20,Georges Niang,PF,6-6,230,"June 17, 1993",us US,8,Iowa State
18,Chuma Okeke,PF,6-7,229,"August 18, 1998",us US,4,Auburn
35,Isaac Okoro,SG,6-4,225,"January 26, 2001",us US,4,Auburn
9,Craig Porter Jr.,PG,6-1,180,"February 26, 2000",us US,1,"Vincennes University, Wichita State"
1,Max Strus,SF,6-5,215,"March 28, 1996",us US,5,"Lewis (IL), DePaul"
13,Tristan Thompson,C,6-9,254,"March 13, 1991",ca CA,13,Texas
15,JT Thor,PF,6-9,203,"August 26, 2002",us US,3,Auburn
30,Nae'Qwan Tomlin,PF,6-8,210,"December 10, 2000",us US,R,"Monroe Community College, Chipola College, Kansas State, Memphis"
33,Luke Travers,SG,6-6,207,"September 3, 2001",au AU,R,
24,Jaylon Tyson,SG,6-6,215,"December 2, 2002",us US,R,"Texas, Texas Tech, California"
32,Dean Wade,PF,6-9,228,"November 20, 1996",us US,5,Kansas State
