No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
23.0,Cedric Coward,SG,6-5,206,"September 11, 2003",us US,R,"Willamette University, Eastern Washington, Washington State"
7.0,Santi Aldama,PF,7-0,215,"January 10, 2001",es ES,4,Loyola (MD)
0.0,Jaylen Wells,SG,6-7,206,"August 26, 2003",us US,1,"Sonoma State University, Washington State"
31.0,Jock Landale,C,6-11,255,"October 25, 1995",au AU,4,Saint Mary's
3.0,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us US,12,Georgia
24.0,Cam Spencer,SG,6-3,205,"April 6, 2000",us US,1,"Loyola (MD), Rutgers University, UConn"
8.0,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,7,Michigan State
5.0,Vince Williams Jr.,PG,6-4,205,"August 30, 2000",us US,3,VCU
46.0,John Konchar,SG,6-5,210,"March 22, 1996",us US,6,Purdue-Fort Wayne
18.0,Olivier-Maxence Prosper (TW),PF,6-7,230,"July 3, 2002",ca CA,2,"Clemson, Marquette"
12.0,Ja Morant,PG,6-2,174,"August 10, 1999",us US,6,Murray State
14.0,Zach Edey,C,7-3,305,"May 14, 2002",ca CA,1,Purdue
10.0,Javon Small (TW),PG,6-1,190,"December 19, 2002",us US,R,"East Carolina University, Oklahoma State, West Virginia"
45.0,GG Jackson II,PF,6-9,210,"December 17, 2004",us US,2,South Carolina
21.0,Jahmai Mashack (TW),SG,6-4,203,"November 10, 2002",us US,R,Tennessee
15.0,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,6,"San Jose State, Gonzaga"
,Ty Jerome,SG,6-5,195,"July 8, 1997",us US,6,Virginia
,Scotty Pippen Jr.,PG,6-2,170,"November 10, 2000",us US,3,Vanderbilt
