No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Ron Holland,SF,6-8,206,"July 7, 2005",us US,1,
31,Javonte Green,SG,6-5,205,"July 23, 1993",us US,6,Radford
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us US,7,"Williams, Michigan"
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us US,4,Oklahoma State
0,Jalen Duren,C,6-10,250,"November 18, 2003",us US,3,Memphis
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us US,5,Washington
9,Ausar Thompson,SF,6-7,205,"January 30, 2003",us US,2,
24,Daniss Jenkins (TW),PG,6-4,165,"August 17, 2001",us US,1,"University of the Pacific, Iona College, St. John's"
8,Caris LeVert,SG,6-7,205,"August 25, 1994",us US,9,Michigan
7,Paul Reed,C,6-9,210,"June 14, 1999",us US,5,DePaul
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us US,14,Tennessee
20,Chaz Lanier,SG,6-3,206,"December 19, 2001",us US,R,"University of North Florida, Tennessee"
23,Jaden Ivey,SG,6-3,195,"February 13, 2002",us US,3,Purdue
34,Bobi Klintman,SF,6-9,225,"March 6, 2003",se SE,1,Wake Forest
14,Wendell Moore Jr. (TW),SG,6-5,215,"September 18, 2001",us US,3,Duke
35,Tolu Smith (TW),PF,6-11,254,"July 26, 2000",us US,1,"Western Kentucky, Mississippi State"
25,Marcus Sasser,PG,6-1,195,"September 21, 2000",us US,2,Houston
13,Isaac Jones,PF,6-8,245,"July 11, 2000",us US,1,"Wenatchee Valley College, Idaho, Washington State"
