No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
30.0,Julius Randle,PF,6-9,250,"November 29, 1994",us US,11,Kentucky
11.0,Naz Reid,C,6-9,264,"August 26, 1999",us US,6,LSU
0.0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,7,Villanova
27.0,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,12,
3.0,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us US,5,Washington
22.0,Jaylen Clark,SG,6-5,205,"October 13, 2001",us US,1,UCLA
10.0,Mike Conley,PG,6-1,175,"October 11, 1987",us US,18,Ohio State
4.0,Rob Dillingham,PG,6-2,175,"January 4, 2005",us US,1,Kentucky
5.0,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,5,Georgia
8.0,Bones Hyland,PG,6-2,169,"September 14, 2000",us US,4,VCU
1.0,Terrence Shannon Jr.,SG,6-6,215,"July 30, 2000",us US,1,"Texas Tech, Illinois"
19.0,Joan Beringer,PF,6-11,230,"November 11, 2006",fr FR,R,
33.0,Leonard Miller,SF,6-10,220,"November 26, 2003",ca CA,2,
9.0,Johnny Juzang (TW),SG,6-7,226,"March 17, 2001",us US,3,"Kentucky, UCLA"
7.0,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,11,
,Rocco Zikarsky (TW),C,7-3,227,"July 11, 2006",au AU,R,
,Enrique Freeman (TW),PF,6-9,220,"July 29, 2000",us US,1,University of Akron
