No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0.0,Jeremiah Fears,PG,6-3,190,"October 14, 2006",us US,R,Oklahoma
22.0,Derik Queen,C,6-9,250,"December 27, 2004",us US,R,Maryland
41.0,Saddiq Bey,SF,6-8,215,"April 9, 1999",us US,4,Villanova
15.0,Jose Alvarado,PG,6-0,179,"April 12, 1998",us US,4,Georgia Tech
25.0,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,4,"Rice University, Virginia"
24.0,Jordan Hawkins,SG,6-5,190,"April 29, 2002",us US,2,UConn
14.0,Micah Peavy,SG,6-7,215,"July 16, 2001",us US,R,"Texas Tech, TCU, Georgetown"
21.0,Yves Missi,C,6-11,235,"May 14, 2004",be BE,1,Baylor
2.0,Herbert Jones,SF,6-7,206,"October 6, 1998",us US,4,Alabama
11.0,Bryce McGowens (TW),SG,6-6,190,"November 8, 2002",us US,3,Nebraska
17.0,Karlo Matković,PF,6-10,231,"March 30, 2001",ba BA,1,
55.0,Kevon Looney,C,6-9,222,"February 6, 1996",us US,10,UCLA
1.0,Zion Williamson,PF,6-6,284,"July 6, 2000",us US,5,Duke
3.0,Jordan Poole,PG,6-4,194,"June 19, 1999",us US,6,Michigan
23.0,Trey Alexander (TW),SG,6-5,185,"May 2, 2003",us US,1,Creighton
9.0,DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,17,Texas A&M
4.0,Hunter Dickinson (TW),C,7-1,255,"November 25, 2000",us US,R,"Michigan, Kansas"
,Dejounte Murray,PG,6-4,180,"September 19, 1996",us US,8,Washington
