No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
13.0,Ryan Rollins,PG,6-3,180,"July 3, 2002",us US,3,Toledo
3.0,Myles Turner,C,6-11,250,"March 24, 1996",us US,10,Texas
9.0,Bobby Portis,PF,6-9,250,"February 10, 1995",us US,10,Arkansas
5.0,Gary Trent Jr.,SG,6-5,204,"January 18, 1999",us US,7,Duke
18.0,Kyle Kuzma,PF,6-8,221,"July 24, 1995",us US,8,Utah
50.0,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,5,UNC
20.0,A.J. Green,SG,6-4,190,"September 27, 1999",us US,3,University of Northern Iowa
0.0,Jericho Sims,C,6-10,250,"October 20, 1998",us US,4,Texas
17.0,Amir Coffey,SG,6-7,210,"June 17, 1997",us US,6,Minnesota
11.0,Gary Harris,SG,6-4,210,"September 14, 1994",us US,11,Michigan State
34.0,Giannis Antetokounmpo,PF,6-11,243,"December 6, 1994",gr GR,12,
44.0,Andre Jackson Jr.,SG,6-6,209,"November 13, 2001",us US,2,UConn
43.0,Thanasis Antetokounmpo,SF,6-7,219,"July 18, 1992",gr GR,6,
7.0,Kevin Porter Jr.,PG,6-5,203,"May 4, 2000",us US,5,USC
12.0,Taurean Prince,SF,6-6,218,"March 22, 1994",us US,9,Baylor
19.0,Mark Sears (TW),PG,6-0,185,"February 19, 2002",us US,R,"Ohio University, Alabama"
35.0,Pete Nance (TW),PF,6-9,225,"February 19, 2000",us US,2,"Northwestern, UNC"
,Alex Antetokounmpo (TW),SF,6-8,214,"August 27, 2001",gr GR,R,
