No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
23,Patrick Baldwin Jr.,SF,7-0,220,"November 18, 2002",us US,2,UW-Milwaukee
4,Mo Bamba,C,7-0,231,"May 12, 1998",us US,6,Texas
33,Nicolas Batum,PF,6-7,230,"December 14, 1988",fr FR,16,
0,MarJon Beauchamp,SF,6-7,199,"October 12, 2000",us US,2,Yakima Valley Community College
10,Bogdan Bogdanović,SG,6-5,225,"August 18, 1992",rs RS,7,
21,Kobe Brown,PF,6-7,250,"January 1, 2000",us US,1,Missouri
12,Cam Christie,SG,6-5,190,"July 24, 2005",us US,R,Minnesota
7,Amir Coffey,SG,6-7,210,"June 17, 1997",us US,5,Minnesota
8,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,8,Providence
15,Drew Eubanks,C,6-10,245,"February 1, 1997",us US,6,Oregon State
9,Trentyn Flowers,SF,6-9,185,"March 8, 2005",us US,R,
1,James Harden,PG,6-5,220,"August 26, 1989",us US,15,Arizona State
5,Bones Hyland,PG,6-2,169,"September 14, 2000",us US,3,VCU
55,Derrick Jones Jr.,SF,6-6,210,"February 15, 1997",us US,8,UNLV
23,Kai Jones,C,6-11,221,"January 19, 2001",bs BS,2,Texas
2,Kawhi Leonard,SF,6-6,225,"June 29, 1991",us US,12,San Diego State
14,Terance Mann,SG,6-6,215,"October 18, 1996",us US,5,Florida State
11,Jordan Miller,SF,6-5,194,"January 23, 2000",us US,1,"George Mason, Miami (FL)"
88,Patty Mills,PG,6-2,180,"August 11, 1988",au AU,15,Saint Mary's
77,Kevin Porter Jr.,SG,6-5,203,"May 4, 2000",us US,4,USC
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,9,UCLA
25,Ben Simmons,PG,6-10,240,"July 20, 1996",au AU,6,LSU
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba BA,8,
