No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
25.0,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,7,Villanova
0.0,Jordan Clarkson,SG,6-5,194,"June 7, 1992",us US,11,"Tulsa, Missouri"
32.0,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us US,10,Kentucky
3.0,Josh Hart,SF,6-5,215,"March 6, 1995",us US,8,Villanova
28.0,Guerschon Yabusele,C,6-7,265,"December 17, 1995",fr FR,3,
11.0,Jalen Brunson,PG,6-2,190,"August 31, 1996",us US,7,Villanova
13.0,Tyler Kolek,PG,6-2,195,"March 27, 2001",us US,1,"George Mason, Marquette"
2.0,Miles McBride,SG,6-2,195,"September 8, 2000",us US,4,West Virginia
23.0,Mitchell Robinson,C,7-0,240,"April 1, 1998",us US,7,Western Kentucky
51.0,Mohamed Diawara,SF,6-9,225,"April 29, 2005",fr FR,R,
8.0,OG Anunoby,PF,6-7,240,"July 17, 1997",gb GB,8,Indiana
55.0,Ariel Hukporti,C,7-0,246,"April 11, 2002",de DE,1,
44.0,Landry Shamet,SG,6-5,190,"March 13, 1997",us US,7,Wichita State
4.0,Pacome Dadiet,SG,6-9,210,"July 27, 2005",fr FR,1,
20.0,Tosan Evbuomwan (TW),SF,6-8,217,"February 16, 2001",uk UK,2,Princeton
50.0,Trey Jemison (TW),C,6-10,270,"November 28, 1999",us US,2,"Clemson, UAB"
9.0,Kevin McCullar Jr. (TW),SF,6-6,210,"March 15, 2001",us US,1,"Texas Tech, Kansas"
,P.J. Tucker,F,6-5,245,"May 5, 1985",us US,14,Texas
