No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
40.0,Ivica Zubac,C,7-0,240,"March 18, 1997",ba BA,9,
20.0,John Collins,PF,6-9,226,"September 23, 1997",us US,8,Wake Forest
8.0,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,9,Providence
1.0,James Harden,PG,6-5,220,"August 26, 1989",us US,16,Arizona State
33.0,Nicolas Batum,PF,6-7,230,"December 14, 1988",fr FR,17,
11.0,Brook Lopez,C,7-1,282,"April 1, 1988",us US,17,Stanford
4.0,Kobe Sanders (TW),SG,6-8,207,"May 30, 2002",us US,R,"Cal Poly, Nevada"
12.0,Cam Christie,SG,6-5,190,"July 24, 2005",us US,1,Minnesota
24.0,Kobe Brown,PF,6-7,250,"January 1, 2000",us US,2,Missouri
2.0,Kawhi Leonard,SF,6-6,225,"June 29, 1991",us US,13,San Diego State
3.0,Chris Paul,PG,6-0,175,"May 6, 1985",us US,20,Wake Forest
5.0,Derrick Jones Jr.,SF,6-6,210,"February 15, 1997",us US,9,UNLV
10.0,Bogdan Bogdanović,SG,6-5,225,"August 18, 1992",rs RS,8,
14.0,Yanic Konan Niederhäuser,C,6-11,242,"March 14, 2003",ch CH,R,"Northern Illinois, Penn State"
0.0,Bradley Beal,SG,6-4,207,"June 28, 1993",us US,13,Florida
22.0,Jordan Miller (TW),SF,6-5,194,"January 23, 2000",us US,2,"George Mason, Miami (FL)"
,RayJ Dennis (TW),PG,6-1,180,"March 30, 2001",us US,1,"Boise State, Toledo, Baylor"
