Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Donovan Mitchell,28,SG,9,9,288,10.7,24.2,0.443,3.5,10.5,0.333,7.3,13.8,0.527,0.515,8.2,11.1,0.742,1.4,3.9,5.2,4.4,2.1,0.4,2.1,2.3,33.2,
2,Jarrett Allen,26,C,9,9,261,6.1,8.4,0.721,0.0,0.0,,6.1,8.4,0.721,0.721,4.6,4.8,0.943,2.9,7.6,10.5,1.7,1.8,1.1,2.3,2.1,16.7,
3,Evan Mobley,23,PF,8,8,257,7.1,12.2,0.586,2.0,4.3,0.452,5.2,7.8,0.661,0.667,2.9,3.5,0.84,2.9,6.2,9.1,1.8,1.3,1.1,1.5,1.4,19.2,
4,Max Strus,28,SF,9,9,253,5.3,12.7,0.416,3.7,9.5,0.388,1.6,3.1,0.5,0.562,0.7,0.9,0.833,2.3,5.0,7.3,5.0,0.9,0.3,1.0,3.3,14.9,
5,Ty Jerome,27,SG,9,1,191,7.0,17.3,0.402,2.6,6.8,0.389,4.3,10.6,0.411,0.478,3.2,3.8,0.85,0.9,3.2,4.1,6.0,0.9,0.2,2.1,3.0,19.8,
6,De'Andre Hunter,27,SF,8,0,185,5.3,12.3,0.429,2.3,5.1,0.462,2.9,7.2,0.405,0.524,4.3,5.1,0.846,1.2,4.5,5.6,1.6,0.8,0.2,1.4,3.3,17.1,
7,Sam Merrill,28,SG,8,3,159,3.4,9.1,0.375,3.2,8.8,0.359,0.2,0.2,1.0,0.55,0.5,0.7,0.667,1.6,2.9,4.5,3.2,0.9,0.5,0.5,4.1,10.4,
8,Darius Garland,25,PG,5,5,148,7.1,16.8,0.42,2.4,8.5,0.286,4.6,8.3,0.559,0.493,5.4,5.8,0.917,0.2,2.4,2.7,6.3,0.5,0.0,3.6,4.1,21.9,
9,Dean Wade,28,PF,9,1,142,1.5,4.6,0.333,0.8,3.5,0.214,0.8,1.0,0.75,0.417,0.0,0.0,,2.5,7.1,9.6,1.5,0.8,0.3,0.8,2.5,3.8,
10,Isaac Okoro,24,SG,9,0,128,4.2,8.4,0.5,1.7,4.5,0.375,2.5,3.9,0.643,0.6,1.4,2.3,0.625,1.1,2.0,3.1,1.4,1.7,0.3,1.1,3.7,11.5,
11,Javonte Green,31,SG,6,0,39,3.7,9.2,0.4,0.9,4.6,0.2,2.8,4.6,0.6,0.45,5.5,5.5,1.0,0.9,7.4,8.3,1.8,3.7,0.0,1.8,1.8,13.8,
12,Craig Porter Jr.,24,PG,6,0,35,6.2,12.3,0.5,0.0,3.1,0.0,6.2,9.3,0.667,0.5,0.0,0.0,,3.1,3.1,6.2,9.3,3.1,2.1,2.1,2.1,12.3,
13,Jaylon Tyson,22,SG,4,0,31,8.1,17.4,0.467,5.8,10.5,0.556,2.3,7.0,0.333,0.633,5.8,7.0,0.833,3.5,4.6,8.1,8.1,2.3,1.2,2.3,4.6,27.9,
14,Tristan Thompson,33,C,3,0,29,3.7,7.4,0.5,0.0,0.0,,3.7,7.4,0.5,0.5,1.2,3.7,0.333,2.5,16.1,18.6,1.2,1.2,2.5,2.5,2.5,8.7,
15,Chuma Okeke,26,PF,3,0,13,2.8,11.1,0.25,2.8,11.1,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,0.0,0.0,2.8,2.8,0.0,0.0,0.0,8.3,
