Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19755,3652,7444,0.491,1303,3401,0.383,2349,4043,0.581,1392,1793,0.776,917,2806,3723,2304,670,350,1082,1487,9999
Team/G,,240.9,44.5,90.8,0.491,15.9,41.5,0.383,28.6,49.3,0.581,17.0,21.9,0.776,11.2,34.2,45.4,28.1,8.2,4.3,13.2,18.1,121.9
Lg Rank,,18,4,7,2.0,2,4,2.0,13,23,1.0,15,15,17.0,13,5,6,9,14,27,3,11,1
Year/Year,,-0.3%,6.6%,4.1%,0.011,17.6%,12.8%,0.016,1.4%,-2.2%,0.02,8.9%,7.3%,0.012,13.6%,2.3%,4.9%,0.2%,10.7%,-7.9%,-2.7%,3.6%,8.3%
Opponent,82.0,19755,3382,7454,0.454,1104,3075,0.359,2278,4379,0.52,1349,1732,0.779,947,2624,3571,2101,641,361,1189,1553,9217
Opponent/G,,240.9,41.2,90.9,0.454,13.5,37.5,0.359,27.8,53.4,0.52,16.5,21.1,0.779,11.5,32.0,43.5,25.6,7.8,4.4,14.5,18.9,112.4
Lg Rank,,18,11,22,3.0,13,13,13.0,13,24,2.0,13,11,16.0,22,8,11,8,10,8,14,11,12
Year/Year,,-0.3%,1.8%,3.9%,-0.009,7.3%,10.9%,-0.012,-0.7%,-0.5%,-0.001,-1.0%,0.5%,-0.012,15.1%,-1.9%,2.1%,1.4%,1.4%,-12.2%,6.6%,1.1%,2.0%
