Rk,Unnamed: 1,Salary
1,Otto Porter,"$28,489,239"
2,Gary Harris,"$19,160,714"
3,Terrence Ross,"$13,500,000"
4,Markelle Fultz,"$12,288,697"
5,Jonathan Isaac,"$7,362,566"
6,Mohamed Bamba,"$5,969,040"
7,Wendell Carter,"$5,448,840"
8,Michael Carter-Williams,"$3,300,000"
9,James Ennis,"$3,300,000"
10,Cole Anthony,"$3,285,120"
11,Chuma Okeke,"$3,121,080"
12,Khem Birch,"$2,586,036"
13,R.J. Hampton,"$2,193,480"
14,Dwayne Bacon,"$1,678,854"
15,Jeff Teague,"$1,620,564"
16,Donta Hall,"$277,256"
17,Moritz Wagner,"$221,995"
18,Robert Franks,"$198,040"
19,Ignas Brazdeikis,"$148,530"
20,Devin Cannady,"$61,528"
21,Karim Mané,$0
22,Chasson Randle,$0
23,Sindarius Thornwell,$0
