Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Paolo Banchero,21.0,PF,7,7,262,0,0,0,82,18,3.8,-9.1,12,16,7,3,22,0,74,5,11,
2.0,Franz Wagner,22.0,SF,7,7,259,0,14,85,1,0,6.4,3.5,1,5,10,1,21,1,76,4,9,
3.0,Jalen Suggs,22.0,SG,7,7,232,14,85,1,0,0,7.4,5.9,12,5,7,2,12,5,55,5,4,
4.0,Wendell Carter Jr.,24.0,C,7,5,185,0,0,0,6,94,6.6,2.2,1,1,6,3,5,0,22,1,3,
5.0,Gary Harris,29.0,SG,6,6,159,91,9,0,0,0,1.9,-7.1,0,1,5,1,0,1,9,0,2,
6.0,Jonathan Isaac,26.0,PF,7,3,147,0,0,35,65,0,4.2,-2.6,1,3,2,0,1,1,7,0,2,
7.0,Markelle Fultz,25.0,PG,7,0,106,42,58,0,0,0,18.3,18.3,3,2,5,3,4,0,23,1,2,
8.0,Moritz Wagner,26.0,C,7,0,105,0,0,0,0,100,17.5,17.0,4,1,7,2,7,2,4,1,5,
9.0,Cole Anthony,23.0,PG,7,0,103,100,0,0,0,0,6.2,0.8,3,0,4,1,3,2,21,0,3,
10.0,Joe Ingles,36.0,SF,7,0,68,3,22,75,1,0,8.4,3.4,0,0,1,0,0,0,29,0,0,
11.0,Caleb Houstan,21.0,SF,3,0,14,0,21,72,7,0,-45.0,-52.8,0,0,0,0,0,0,0,0,0,
12.0,Anthony Black,20.0,PG,2,0,11,88,0,12,0,0,-28.1,-34.8,1,0,1,0,0,0,5,0,1,
13.0,Goga Bitadze,24.0,C,2,0,10,0,0,0,0,100,-36.3,-43.1,1,0,0,0,0,0,5,0,0,
14.0,Jett Howard,20.0,SF,2,0,10,0,0,0,100,0,-36.3,-43.1,0,1,1,0,0,0,2,0,0,
15.0,Chuma Okeke,25.0,SF,2,0,10,0,100,0,0,0,-36.3,-43.1,0,0,0,0,1,0,3,1,0,
,Team Totals,,,7,7,1681,20,20,20,20,20,5.6,0.2,39,35,56,16,76,12,335,18,42,
