Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Cole Anthony,23.0,PG,7,0,103,0.317,0.393,0.154,0.341,0.889,0.4,0.22,0.317,67,72.0,42.0,62,113.0,69,90,80,
2.0,Paolo Banchero,21.0,PF,7,7,262,0.456,0.477,0.4,0.51,0.755,0.554,0.329,0.268,96,87.0,109.0,93,96.0,96,135,68,
3.0,Goga Bitadze,24.0,C,2,0,10,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,,0,,0,0,0,
4.0,Anthony Black,20.0,PG,2,0,11,0.429,0.6,0.0,0.429,,0.429,0.0,0.286,90,110.0,0.0,78,,74,0,72,
5.0,Wendell Carter Jr.,24.0,C,7,5,185,0.404,0.545,0.28,0.479,0.727,0.511,0.234,0.532,85,100.0,77.0,88,93.0,88,96,135,
6.0,Markelle Fultz,25.0,PG,7,0,106,0.588,0.606,0.0,0.588,0.556,0.593,0.265,0.029,124,111.0,0.0,108,71.0,102,108,7,
7.0,Gary Harris,29.0,SG,6,6,159,0.286,0.167,0.318,0.411,1.0,0.433,0.071,0.786,60,31.0,87.0,75,128.0,75,29,199,
8.0,Caleb Houstan,21.0,SF,3,0,14,0.5,,0.5,0.75,,0.75,0.0,1.0,105,,137.0,137,,129,0,253,
9.0,Jett Howard,20.0,SF,2,0,10,0.667,0.5,1.0,0.833,,0.833,0.0,0.333,141,92.0,273.0,152,,144,0,84,
10.0,Joe Ingles,36.0,SF,7,0,68,0.333,0.4,0.286,0.417,0.5,0.427,0.167,0.583,70,73.0,78.0,76,64.0,74,68,148,
11.0,Jonathan Isaac,26.0,PF,7,3,147,0.41,0.5,0.37,0.538,1.0,0.552,0.051,0.692,86,92.0,101.0,99,128.0,95,21,175,
12.0,Chuma Okeke,25.0,SF,2,0,10,0.667,1.0,0.5,0.833,1.0,0.872,0.333,0.667,141,183.0,137.0,152,128.0,150,136,169,
13.0,Jalen Suggs,22.0,SG,7,7,232,0.402,0.559,0.292,0.488,0.767,0.541,0.366,0.585,85,102.0,80.0,89,98.0,93,150,148,
14.0,Franz Wagner,22.0,SF,7,7,259,0.408,0.478,0.265,0.451,0.886,0.539,0.427,0.33,86,88.0,72.0,83,113.0,93,175,84,
15.0,Moritz Wagner,26.0,C,7,0,105,0.444,0.519,0.222,0.472,0.588,0.506,0.472,0.25,94,95.0,61.0,86,75.0,87,193,63,
,Team Totals,,,7,7,1681,0.42,0.493,0.309,0.481,0.773,0.527,0.299,0.396,89,90.0,85.0,88,99.0,91,123,100,
