Rk,Unnamed: 1,Salary
1,Paul George,"$39,344,970"
2,Kawhi Leonard,"$39,344,900"
3,Marcus Morris,"$15,627,907"
4,Norman Powell,"$15,517,242"
5,Robert Covington,"$12,975,471"
6,Luke Kennard,"$12,727,273"
7,Reggie Jackson,"$10,384,500"
8,Ivica Zubac,"$7,518,518"
9,Nicolas Batum,"$3,170,029"
10,Rodney Hood,"$2,239,544"
11,Semi Ojeleye,"$1,789,256"
12,Terance Mann,"$1,782,621"
13,Isaiah Hartenstein,"$1,729,217"
14,Jason Preston,"$1,062,303"
15,Brandon Boston,"$925,258"
16,Wenyen Gabriel,"$198,760"
17,Xavier Moon,"$159,528"
18,Amir Coffey,"$153,488"
19,James Ennis,"$128,709"
20,Moses Wright,"$53,176"
21,Jay Scrubb,$0
