Rk,Unnamed: 1,Salary
1,DeMar DeRozan,"$27,739,975"
2,LaMarcus Aldridge,"$16,750,000"
3,Rudy Gay,"$14,500,000"
4,Dejounte Murray,"$14,286,000"
5,Patty Mills,"$13,535,714"
6,Jakob Poeltl,"$8,101,852"
7,DeMarre Carroll,"$6,119,676"
8,Trey Lyles,"$5,500,000"
9,Devin Vassell,"$4,033,440"
10,Derrick White,"$3,516,284"
11,Lonnie Walker,"$2,892,000"
12,Luka Šamanić,"$2,824,320"
13,Keldon Johnson,"$2,048,040"
14,Marquese Chriss,"$1,824,003"
15,Drew Eubanks,"$1,620,564"
16,DaQuan Jeffries,"$1,445,697"
17,Gorgui Dieng,"$1,000,000"
18,Tre Jones,"$898,310"
19,Cameron Reynolds,"$110,998"
20,Quinndary Weatherspoon,$0
21,Keita Bates-Diop,$0
