Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19805,3538,7258,0.487,1163,3122,0.373,2375,4136,0.574,1517,1960,0.774,772,2850,3622,2176,558,413,1059,1574,9756
Team/G,,241.5,43.1,88.5,0.487,14.2,38.1,0.373,29.0,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5.0,12.9,19.2,119.0
Lg Rank,,10,8,19,7.0,5,5,11.0,18,26,3.0,7,3,19.0,24,3,9,17,26,15,9,21,4
Year/Year,,-0.1%,1.0%,-2.1%,0.015,-4.4%,-5.6%,0.004,3.8%,0.8%,0.017,11.2%,6.7%,0.031,-15.5%,-7.3%,-9.2%,2.9%,7.1%,2.5%,-11.7%,6.3%,1.7%
Opponent,82.0,19805,3543,7537,0.47,1032,2897,0.356,2511,4640,0.541,1423,1764,0.807,843,2765,3608,2169,580,347,986,1576,9541
Opponent/G,,241.5,43.2,91.9,0.47,12.6,35.3,0.356,30.6,56.6,0.541,17.4,21.5,0.807,10.3,33.7,44.0,26.5,7.1,4.2,12.0,19.2,116.4
Lg Rank,,10,21,27,14.0,12,14,9.0,23,27,16.0,21,13,29.0,9,22,18,13,10,3,29,9,21
Year/Year,,-0.1%,1.7%,-1.4%,0.014,4.1%,3.5%,0.002,0.8%,-4.2%,0.027,6.7%,2.6%,0.031,-4.1%,0.8%,-0.4%,10.5%,0.3%,7.4%,1.6%,1.2%,2.7%
