Rk,Unnamed: 1,Salary
1,Zion Williamson,"$36,725,670"
2,CJ McCollum,"$33,333,333"
3,Dejounte Murray,"$29,517,135"
4,Bruce Brown,"$23,000,000"
5,Herbert Jones,"$12,976,362"
6,Kelly Olynyk,"$12,804,878"
7,Trey Murphy,"$5,159,854"
8,Jordan Hawkins,"$4,525,680"
9,Yves Missi,"$3,193,200"
10,Jeremiah Robinson-Earl,"$2,196,970"
11,Jose Alvarado,"$1,988,598"
12,Javonte Green,"$1,728,488"
13,Karlo Matković,"$1,407,153"
14,Antonio Reeves,"$1,157,153"
15,Brandon Boston,"$596,581"
16,Jaylen Nowell,"$278,782"
17,Elfrid Payton,"$274,809"
18,Elfrid Payton,"$119,972"
19,Elfrid Payton,"$119,972"
20,Mohamed Bamba,"$119,972"
21,Kylor Kelley,"$66,503"
22,Elfrid Payton,"$34,351"
23,Kylor Kelley,"$6,650"
24,Lester Quiñones,
25,Jalen Crutcher,
26,Keion Brooks,
27,Brandon Boston,
28,Trey Jemison,
29,Jamal Cain,
