Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Trae Young,23.0,PG,5,5,186,5.3,0.461,0.551,0.478,3.2,13.2,8.1,27.0,0.8,0.0,27.1,28.3,-0.6,0.1,-0.5,-0.139,-4.0,-4.1,-8.1,-0.3,
2.0,De'Andre Hunter,24.0,SF,5,5,175,16.8,0.673,0.371,0.286,1.4,12.0,6.6,3.5,1.2,0.6,12.2,23.6,0.3,0.1,0.4,0.108,2.1,0.8,2.9,0.2,
3.0,Kevin Huerter,23.0,SF,5,5,154,7.7,0.472,0.66,0.085,0.8,11.2,5.9,20.3,2.0,2.0,18.4,17.9,-0.2,0.1,-0.1,-0.017,-1.9,1.1,-0.8,0.0,
4.0,Delon Wright,29.0,SG,5,0,137,15.9,0.622,0.448,0.31,9.5,11.7,10.6,16.8,1.5,0.7,13.2,12.8,0.3,0.1,0.4,0.13,3.3,1.5,4.8,0.2,
5.0,John Collins,24.0,PF,5,4,122,10.7,0.541,0.282,0.256,1.9,21.2,11.4,8.8,0.8,0.8,10.3,18.3,0.0,0.1,0.1,0.034,-0.8,0.0,-0.9,0.0,
6.0,Danilo Gallinari,33.0,PF,5,3,112,10.8,0.512,0.333,0.244,2.1,20.9,11.3,6.4,0.5,0.0,9.1,22.5,0.0,0.0,0.0,0.011,-0.6,-1.3,-1.8,0.0,
7.0,Onyeka Okongwu,21.0,C,5,1,108,12.7,0.637,0.0,0.625,12.1,18.2,15.1,2.9,1.9,3.8,16.4,10.4,0.2,0.1,0.3,0.126,-2.2,0.7,-1.5,0.0,
8.0,Bogdan Bogdanović,29.0,SG,4,0,107,15.6,0.534,0.531,0.204,4.4,17.3,10.7,21.2,0.5,1.0,7.0,24.7,0.2,0.0,0.2,0.09,1.6,-0.5,1.1,0.1,
9.0,Clint Capela,27.0,C,2,2,40,7.8,0.333,0.0,0.0,11.9,33.8,22.7,0.0,1.3,2.5,14.3,8.1,0.0,0.0,0.0,0.021,-2.2,-1.0,-3.1,0.0,
10.0,Timothé Luwawu-Cabarrot,26.0,SF,4,0,22,3.9,0.625,0.75,0.0,0.0,16.8,8.2,14.5,0.0,0.0,20.0,10.5,0.0,0.0,0.0,0.037,-5.5,1.0,-4.5,0.0,
11.0,Gorgui Dieng,32.0,C,2,0,10,15.4,0.615,0.5,0.5,11.9,24.6,18.1,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.149,1.9,-3.2,-1.3,0.0,
12.0,Jalen Johnson,20.0,PF,2,0,9,-20.1,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.5,-0.1,0.0,-0.1,-0.545,-17.0,-8.3,-25.2,-0.1,
13.0,Kevin Knox,22.0,SF,2,0,9,86.7,0.926,0.909,0.182,0.0,27.4,13.4,0.0,11.2,0.0,20.2,76.1,0.2,0.0,0.2,1.24,47.5,15.1,62.6,0.2,
14.0,Skylar Mays,24.0,SG,2,0,9,18.6,1.0,0.0,0.0,0.0,13.7,6.7,18.3,5.6,0.0,0.0,5.1,0.0,0.0,0.0,0.24,0.1,8.1,8.2,0.0,
,Team Totals,,,5,5,1200,,0.554,0.448,0.281,,,,,,,,,0.3,0.7,1.0,0.04,-0.3,-0.2,-0.5,0.4,
