Player,Team,Update,Description
Deandre Ayton,Los Angeles Lakers,"Wed, Dec 17, 2025",Out (Elbow) - The Lakers listed Ayton as Out on Thursday's (Dec. 18) game against the Jazz.
Maxi Kleber,Los Angeles Lakers,"Wed, Dec 17, 2025",Day To Day (Back) - The Lakers listed Kleber as Probable on Thursday's (Dec. 18) game against the Jazz.
Austin Reaves,Los Angeles Lakers,"Fri, Dec 12, 2025","Out (Calf) - Reaves has been diagnosed with a mild left calf strain and will be re-evaluated in approximately one week, as reported by Dan Woike of The Athletic."
Gabe Vincent,Los Angeles Lakers,"Wed, Dec 17, 2025",Day To Day (Back) - The Lakers listed Vincent as Questionable on Thursday's (Dec. 18) game against the Jazz.
