Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Brook Lopez,34,78,78,2373,9.6,18.1,0.531,2.7,7.3,0.374,6.9,10.8,0.637,0.606,3.0,3.8,0.784,3.2,7.3,10.5,2.0,0.7,3.9,2.2,4.1,24.9,122,109,"DPOY-2,DEF1"
2,Jrue Holiday,32,67,65,2183,10.7,22.4,0.479,3.5,9.0,0.384,7.3,13.4,0.542,0.556,3.3,3.9,0.859,1.7,5.7,7.5,10.8,1.7,0.5,4.3,2.5,28.2,118,112,"DPOY-7,AS,DEF1"
3,Giannis Antetokounmpo,28,63,63,2024,16.7,30.1,0.553,1.1,4.0,0.275,15.6,26.1,0.596,0.572,11.7,18.2,0.645,3.2,14.3,17.5,8.5,1.2,1.2,5.8,4.6,46.2,117,108,"MVP-3,DPOY-6,AS,NBA1"
4,Grayson Allen,27,72,70,1972,5.9,13.5,0.44,3.5,8.9,0.399,2.4,4.6,0.518,0.571,2.8,3.1,0.905,1.5,4.3,5.7,3.9,1.5,0.3,1.7,2.8,18.2,123,114,
5,Bobby Portis,27,70,22,1818,10.5,21.1,0.496,2.5,6.8,0.37,8.0,14.3,0.555,0.555,2.5,3.3,0.768,4.0,13.6,17.6,2.8,0.8,0.4,2.1,3.0,25.9,117,110,6MOY-3
6,Jevon Carter,27,81,39,1810,6.3,14.9,0.423,3.7,8.9,0.421,2.6,6.0,0.425,0.549,0.8,1.0,0.816,0.9,4.4,5.3,5.2,1.7,0.8,2.1,4.2,17.2,113,113,
7,Pat Connaughton,30,61,33,1443,5.5,13.9,0.392,3.6,10.7,0.339,1.9,3.3,0.566,0.521,0.9,1.4,0.659,1.7,7.7,9.4,2.5,1.2,0.4,1.1,2.3,15.4,112,113,
8,Joe Ingles,35,46,0,1044,4.9,11.3,0.435,3.8,9.3,0.409,1.1,2.1,0.556,0.603,0.8,1.0,0.857,0.6,5.3,5.9,6.9,1.5,0.3,2.5,3.4,14.5,120,114,
9,Wesley Matthews,36,52,0,820,3.4,9.3,0.363,2.3,7.2,0.315,1.1,2.1,0.528,0.484,1.4,1.6,0.857,2.0,4.6,6.6,2.0,1.2,0.8,1.0,4.1,10.4,113,114,
10,Khris Middleton,31,33,19,801,10.6,24.2,0.436,3.0,9.7,0.315,7.5,14.5,0.516,0.499,5.5,6.1,0.902,1.7,6.7,8.3,9.7,1.4,0.3,4.2,4.1,29.6,113,113,
11,MarJon Beauchamp,22,52,11,701,6.5,16.6,0.395,3.2,9.7,0.331,3.3,6.9,0.485,0.492,1.8,2.5,0.73,2.6,5.2,7.8,2.4,1.4,0.5,3.1,4.8,18.1,99,113,
12,George Hill,36,35,0,668,4.2,9.4,0.447,1.6,5.3,0.311,2.6,4.1,0.621,0.534,2.4,3.3,0.739,0.9,3.9,4.8,6.4,1.4,0.2,1.9,2.9,12.5,121,115,
13,Jordan Nwora,24,38,3,597,6.1,15.8,0.386,3.2,8.2,0.392,2.9,7.6,0.379,0.487,3.0,3.4,0.86,2.3,7.0,9.4,3.0,1.0,0.6,2.7,2.7,18.3,106,113,
14,A.J. Green,23,35,1,345,7.3,17.3,0.424,6.1,14.5,0.419,1.2,2.8,0.45,0.6,0.6,0.6,1.0,0.8,5.4,6.2,3.0,0.8,0.0,1.2,4.3,21.3,121,115,
15,Jae Crowder,32,18,3,340,6.3,13.2,0.479,3.4,7.7,0.436,2.9,5.5,0.538,0.606,1.4,1.7,0.833,2.4,7.3,9.7,3.8,1.7,0.8,1.0,3.8,17.4,133,111,
16,Sandro Mamukelashvili,23,24,0,217,4.2,12.8,0.328,1.5,7.0,0.219,2.6,5.7,0.462,0.388,2.6,4.0,0.667,4.0,8.4,12.3,3.5,0.9,1.1,2.0,4.2,12.5,102,112,
17,Thanasis Antetokounmpo,30,37,0,206,4.6,10.7,0.435,0.0,1.9,0.0,4.6,8.8,0.526,0.435,2.5,5.1,0.5,3.5,6.7,10.2,3.5,0.7,0.7,2.8,5.1,11.8,98,114,
18,Serge Ibaka,33,16,0,185,6.7,13.9,0.481,1.5,4.6,0.333,5.2,9.3,0.556,0.537,2.1,3.4,0.615,3.9,7.5,11.4,1.0,0.5,1.8,2.8,5.9,17.0,105,112,
19,Meyers Leonard,30,9,2,114,5.9,12.1,0.483,2.9,7.5,0.389,2.9,4.6,0.636,0.603,3.4,3.8,0.889,5.0,9.2,14.2,0.4,0.8,0.0,2.5,6.7,18.0,123,113,
20,Lindell Wigginton,24,7,1,87,9.9,20.3,0.486,3.3,9.9,0.333,6.6,10.4,0.632,0.568,4.4,4.9,0.889,0.0,3.8,3.8,7.7,0.0,1.1,6.6,3.8,27.4,104,117,
21,Goran Dragić,36,7,0,83,8.1,20.7,0.389,4.0,9.8,0.412,4.0,10.9,0.368,0.486,2.3,2.3,1.0,1.7,5.2,6.9,6.9,1.2,0.0,4.0,1.2,22.4,104,115,
