Rk,Unnamed: 1,Salary
1,Giannis Antetokounmpo,"$42,492,492"
2,Khris Middleton,"$37,948,276"
3,Jrue Holiday,"$33,665,040"
4,Brook Lopez,"$13,906,976"
5,Bobby Portis,"$10,843,350"
6,Jae Crowder,"$10,183,800"
7,Grayson Allen,"$8,500,000"
8,Joe Ingles,"$6,479,000"
9,Pat Connaughton,"$5,728,393"
10,MarJon Beauchamp,"$2,485,200"
11,Jevon Carter,"$2,100,000"
12,Thanasis Antetokounmpo,"$1,878,720"
13,Wesley Matthews,"$1,836,090"
14,Goran Dragić,"$390,433"
15,Meyers Leonard,"$284,911"
16,Meyers Leonard,"$105,522"
17,Meyers Leonard,"$105,522"
18,A.J. Green,
19,Lindell Wigginton,
