Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Giannis Antetokounmpo,30,PF,5,5,188,11.5,19.0,0.606,0.2,1.0,0.2,11.3,18.0,0.628,0.611,8.4,12.1,0.698,3.6,11.1,14.7,6.3,1.0,1.0,4.4,2.3,31.6,
2,Gary Trent Jr.,26,SG,5,3,171,6.7,13.1,0.516,4.6,9.3,0.5,2.1,3.8,0.556,0.694,1.7,2.1,0.8,0.2,2.1,2.3,1.3,2.7,0.0,0.6,1.9,19.8,
3,Bobby Portis,29,PF,5,1,158,6.8,15.5,0.441,2.3,6.4,0.357,4.6,9.1,0.5,0.515,0.0,0.2,0.0,1.8,7.5,9.3,1.6,0.5,0.5,1.4,1.8,15.9,
4,Kevin Porter Jr.,24,SG,5,1,151,4.5,11.4,0.396,1.7,3.6,0.467,2.9,7.9,0.364,0.469,2.6,3.1,0.846,0.7,3.6,4.3,6.4,1.0,0.0,2.1,2.9,13.4,
5,A.J. Green,25,SG,5,1,135,4.8,10.4,0.462,4.8,9.3,0.514,0.0,1.1,0.0,0.692,0.3,0.5,0.5,0.5,3.2,3.7,2.7,0.0,0.3,0.0,3.5,14.7,
6,Kyle Kuzma,29,PF,5,4,102,4.2,12.4,0.343,0.7,3.5,0.2,3.5,8.8,0.4,0.371,1.1,2.1,0.5,1.1,2.8,3.9,1.4,0.0,0.4,1.1,4.2,10.2,
7,Damian Lillard,34,PG,3,3,75,2.9,13.0,0.222,1.4,7.7,0.188,1.4,5.3,0.273,0.278,2.9,3.4,0.857,0.5,3.4,3.8,6.7,1.0,1.0,1.4,3.8,10.1,
8,Brook Lopez,36,C,5,4,74,3.9,10.7,0.364,1.9,7.3,0.267,1.9,3.4,0.571,0.455,2.4,2.4,1.0,1.5,2.4,3.9,1.9,0.5,2.4,1.9,5.4,12.2,
9,Taurean Prince,30,SF,5,2,61,1.2,5.9,0.2,1.2,5.3,0.222,0.0,0.6,0.0,0.3,0.0,0.0,,0.0,3.0,3.0,4.7,1.2,0.6,3.0,1.8,3.5,
10,Jericho Sims,26,C,5,0,58,3.7,3.7,1.0,0.0,0.0,,3.7,3.7,1.0,1.0,1.2,1.9,0.667,6.8,5.6,12.4,0.6,0.0,0.6,3.1,3.1,8.7,
11,Ryan Rollins,22,PG,3,1,30,4.8,15.6,0.308,2.4,8.4,0.286,2.4,7.2,0.333,0.385,0.0,0.0,,1.2,1.2,2.4,4.8,1.2,0.0,0.0,4.8,12.0,
12,Pat Connaughton,32,SG,3,0,14,5.1,20.6,0.25,2.6,10.3,0.25,2.6,10.3,0.25,0.313,2.6,5.1,0.5,0.0,5.1,5.1,2.6,0.0,0.0,2.6,2.6,15.4,
13,Andre Jackson Jr.,23,SG,2,0,5,0.0,7.2,0.0,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,Chris Livingston,21,SF,2,0,5,0.0,7.2,0.0,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,
