Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Dorian Finney-Smith,28,80,80,2644,6.2,13.2,0.471,3.3,8.3,0.395,2.9,4.9,0.599,0.595,1.1,1.6,0.675,2.3,4.8,7.1,2.9,1.7,0.7,1.5,3.5,16.8,119,110,
2,Jalen Brunson,25,79,61,2524,10.1,20.1,0.502,1.9,5.0,0.373,8.2,15.1,0.545,0.549,3.6,4.2,0.84,0.9,5.3,6.2,7.5,1.3,0.1,2.5,3.0,25.6,118,112,
3,Luka Dončić,22,65,65,2301,14.0,30.7,0.457,4.4,12.4,0.353,9.6,18.2,0.528,0.529,8.0,10.7,0.744,1.2,11.7,13.0,12.4,1.6,0.8,6.4,3.2,40.4,110,107,"MVP-5,AS,NBA1"
4,Reggie Bullock,30,68,37,1902,5.3,13.3,0.401,3.7,10.4,0.36,1.6,2.9,0.55,0.542,1.1,1.3,0.833,0.9,5.5,6.4,2.2,1.1,0.4,1.1,2.9,15.4,111,112,
5,Dwight Powell,30,82,71,1798,7.5,11.2,0.671,0.4,1.0,0.351,7.2,10.2,0.703,0.687,4.6,5.9,0.783,4.8,6.5,11.3,2.7,1.0,1.1,1.8,6.2,20.1,142,110,
6,Maxi Kleber,30,59,21,1450,4.9,12.3,0.398,2.9,8.9,0.325,2.0,3.4,0.586,0.516,1.6,2.3,0.708,2.4,9.7,12.1,2.4,1.0,2.0,1.6,4.8,14.3,109,107,6MOY-11
7,Tim Hardaway Jr.,29,42,20,1245,8.4,21.4,0.394,4.1,12.3,0.336,4.3,9.1,0.473,0.491,3.2,4.2,0.757,0.5,5.8,6.3,3.7,1.5,0.2,1.4,3.0,24.2,107,111,
8,Josh Green,21,67,3,1039,6.3,12.4,0.508,1.4,3.8,0.359,4.9,8.6,0.573,0.563,1.5,2.2,0.689,2.5,5.3,7.8,3.8,2.2,0.7,2.1,5.6,15.5,114,109,
9,Kristaps Porziņģis,26,34,34,1002,11.5,25.5,0.451,2.5,8.7,0.283,9.0,16.8,0.537,0.499,7.4,8.5,0.865,3.2,9.9,13.1,3.5,1.3,3.0,2.7,4.4,32.9,113,106,
10,Frank Ntilikina,23,58,5,685,6.5,16.4,0.399,2.8,8.2,0.342,3.7,8.2,0.455,0.484,1.8,1.8,0.96,0.9,4.9,5.8,5.1,2.0,0.5,2.3,4.5,17.6,104,110,
11,Spencer Dinwiddie,28,23,7,650,9.4,18.8,0.498,3.3,8.1,0.404,6.1,10.8,0.568,0.584,6.1,8.4,0.725,0.7,4.9,5.6,7.0,1.3,0.5,2.4,3.3,28.1,124,112,
12,Sterling Brown,26,49,3,628,4.7,12.4,0.381,2.2,7.4,0.304,2.5,5.0,0.492,0.471,1.1,1.2,0.933,2.1,9.9,11.9,2.7,1.1,0.6,1.8,4.5,12.8,102,109,
13,Trey Burke,29,42,0,441,9.6,24.5,0.391,3.0,9.4,0.317,6.6,15.2,0.436,0.451,2.3,2.6,0.87,0.5,3.3,3.8,6.5,1.4,0.0,3.0,4.5,24.4,97,113,
14,Marquese Chriss,24,34,0,346,9.0,19.5,0.463,1.2,3.6,0.32,7.9,15.9,0.495,0.493,3.2,4.8,0.667,4.8,10.2,15.0,2.5,1.9,1.7,2.5,9.3,22.4,107,105,
15,Dāvis Bertāns,29,22,0,306,6.4,17.1,0.375,5.1,14.1,0.36,1.3,3.0,0.444,0.524,1.3,1.6,0.8,1.0,8.2,9.2,2.5,1.0,1.0,0.8,4.9,19.2,111,110,
16,Willie Cauley-Stein,28,18,2,177,4.5,10.0,0.457,0.3,0.6,0.5,4.3,9.4,0.455,0.471,0.3,0.6,0.5,3.7,7.1,10.8,2.6,1.7,0.9,2.0,4.8,9.7,102,109,
17,Moses Brown,22,26,1,169,8.0,14.9,0.54,0.0,0.0,,8.0,14.9,0.54,0.54,8.0,12.8,0.628,4.8,13.4,18.2,0.3,0.9,2.7,4.2,8.3,24.1,106,105,
18,Theo Pinson,26,19,0,148,4.8,13.3,0.359,3.4,10.2,0.333,1.4,3.1,0.444,0.487,3.4,3.4,1.0,0.7,6.5,7.1,5.8,1.7,0.7,1.7,4.1,16.3,117,109,
19,Boban Marjanović,33,23,0,128,16.5,27.5,0.6,0.4,1.6,0.25,16.1,26.0,0.621,0.607,5.1,8.7,0.591,3.1,12.2,15.3,1.2,0.0,1.2,5.9,9.4,38.5,101,109,
20,Brandon Knight,30,5,0,65,7.7,19.4,0.4,3.1,13.2,0.235,4.6,6.2,0.75,0.48,6.2,6.2,1.0,0.0,6.2,6.2,6.2,0.8,0.0,3.1,3.9,24.8,110,113,
