Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Reggie Bullock,30,18,18,707,4.5,11.1,0.404,3.8,9.6,0.397,0.7,1.5,0.45,0.576,1.2,1.3,0.889,0.6,5.4,6.0,2.2,1.6,0.1,0.6,3.5,13.9,120,115,
2,Dorian Finney-Smith,28,18,18,688,5.6,11.8,0.471,3.5,8.1,0.426,2.1,3.7,0.571,0.618,1.3,1.8,0.708,2.4,5.0,7.5,2.6,1.3,0.5,1.4,4.0,15.9,125,116,
3,Jalen Brunson,25,18,18,629,12.0,25.6,0.466,2.1,6.2,0.347,9.8,19.5,0.504,0.508,5.9,7.4,0.8,1.2,5.6,6.8,5.4,1.2,0.1,1.6,3.1,32.0,115,116,
4,Luka Dončić,22,15,15,552,15.0,33.1,0.455,4.8,13.9,0.345,10.2,19.2,0.534,0.527,9.8,12.7,0.77,0.9,12.9,13.8,9.0,2.5,0.8,5.5,4.1,44.6,111,108,
5,Spencer Dinwiddie,28,18,3,501,8.3,19.9,0.417,4.1,9.9,0.417,4.1,9.9,0.417,0.521,5.7,6.9,0.821,0.8,3.7,4.6,6.7,1.6,0.6,3.0,4.3,26.4,114,116,
6,Maxi Kleber,30,18,0,457,6.1,12.0,0.509,3.9,8.9,0.436,2.3,3.2,0.714,0.67,1.7,2.4,0.714,1.7,7.6,9.3,2.3,0.5,1.7,1.2,5.6,17.8,130,115,
7,Dwight Powell,30,18,18,249,4.6,7.3,0.629,0.0,0.4,0.0,4.6,6.9,0.667,0.629,2.9,4.8,0.609,3.5,6.2,9.8,0.8,0.6,1.2,1.9,8.3,12.1,122,116,
8,Dāvis Bertāns,29,18,0,192,5.9,14.9,0.4,5.1,13.8,0.373,0.8,1.1,0.75,0.573,2.7,3.2,0.833,1.1,5.9,7.0,1.6,2.2,0.5,0.8,6.8,19.7,120,113,
9,Frank Ntilikina,23,12,0,125,3.3,10.0,0.333,2.5,8.3,0.3,0.8,1.7,0.5,0.458,0.4,0.4,1.0,0.8,4.1,5.0,3.7,3.3,0.4,2.5,7.9,9.5,91,112,
10,Josh Green,21,16,0,121,3.4,12.0,0.286,2.1,9.4,0.227,1.3,2.6,0.5,0.375,0.9,3.4,0.25,0.4,4.7,5.1,3.0,2.1,0.0,0.0,6.9,9.9,87,115,
11,Trey Burke,29,10,0,37,15.4,30.8,0.5,5.6,14.0,0.4,9.8,16.8,0.583,0.591,8.4,8.4,1.0,0.0,4.2,4.2,5.6,1.4,0.0,1.4,4.2,44.8,129,117,
12,Marquese Chriss,24,8,0,30,6.9,13.8,0.5,1.7,3.5,0.5,5.2,10.4,0.5,0.563,8.6,10.4,0.833,6.9,8.6,15.6,0.0,0.0,0.0,1.7,5.2,24.2,136,117,
13,Sterling Brown,26,9,0,26,6.0,19.9,0.3,0.0,8.0,0.0,6.0,12.0,0.5,0.3,10.0,14.0,0.714,2.0,14.0,16.0,6.0,8.0,4.0,6.0,0.0,21.9,84,92,
14,Boban Marjanović,33,3,0,6,8.6,34.6,0.25,0.0,0.0,,8.6,34.6,0.25,0.25,17.3,17.3,1.0,0.0,25.9,25.9,0.0,8.6,0.0,17.3,0.0,34.6,59,88,
