Rk,Unnamed: 1,Salary
1,Steven Adams,"$29,592,695"
2,Brandon Ingram,"$27,285,000"
3,Eric Bledsoe,"$16,875,000"
4,James Johnson,"$16,047,100"
5,Lonzo Ball,"$11,003,782"
6,Zion Williamson,"$10,245,480"
7,Jaxson Hayes,"$5,105,160"
8,Kira Lewis,"$3,640,200"
9,Josh Hart,"$3,491,159"
10,Nickeil Alexander-Walker,"$3,113,160"
11,Wes Iwundu,"$1,678,854"
12,Willy Hernangómez,"$1,620,564"
13,Wenyen Gabriel,"$1,620,564"
14,Sindarius Thornwell,"$943,480"
15,Marcos Louzada Silva,"$123,056"
16,Naji Marshall,"$120,000"
17,Isaiah Thomas,"$110,998"
18,Will Magnay,$0
19,James Nunnally,$0
