Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,James Harden,35.0,PG,7,7,276,0.436,15.1,0.564,0.139,0.356,0.069,0.0,0.436,0.491,0.643,0.528,0.0,,0.364,0.143,0.25,0.0,0,0.023,0.0,1,0,
2.0,Kawhi Leonard,33.0,SF,7,7,265,0.537,14.0,0.699,0.179,0.195,0.211,0.114,0.301,0.593,0.864,0.5,0.538,0.429,0.405,0.353,0.867,0.089,10,0.216,0.75,0,0,
3.0,Ivica Zubac,27.0,C,7,7,256,0.659,4.9,1.0,0.293,0.646,0.061,0.0,0.0,0.659,0.708,0.642,0.6,,,0.833,,0.11,8,,,0,0,
4.0,Norman Powell,31.0,SG,7,7,238,0.472,14.8,0.551,0.169,0.27,0.101,0.011,0.449,0.571,0.733,0.5,0.444,1.0,0.35,0.607,0.857,0.045,4,0.275,0.364,0,0,
5.0,Nicolas Batum,36.0,PF,7,0,172,0.394,25.2,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.394,,1.0,0.0,0,0.394,0.231,0,0,
6.0,Kris Dunn,30.0,PG,7,6,153,0.386,17.4,0.364,0.159,0.159,0.045,0.0,0.636,0.438,0.714,0.286,0.0,,0.357,1.0,1.0,0.023,1,0.5,0.286,0,0,
7.0,Derrick Jones Jr.,27.0,SF,7,1,129,0.438,13.3,0.583,0.25,0.229,0.083,0.021,0.417,0.536,0.583,0.545,0.5,0.0,0.3,0.8,1.0,0.104,5,0.55,0.273,0,0,
8.0,Bogdan Bogdanović,32.0,SG,7,0,117,0.364,19.3,0.455,0.136,0.136,0.114,0.068,0.545,0.45,0.667,0.5,0.2,0.333,0.292,0.556,0.714,0.0,0,0.125,0.333,1,0,
9.0,Ben Simmons,28.0,PG,5,0,42,0.333,5.3,1.0,0.5,0.333,0.167,0.0,0.0,0.333,0.667,0.0,0.0,,,0.5,,0.333,1,,,0,0,
10.0,Kobe Brown,25.0,PF,3,0,15,0.875,4.9,0.875,0.75,0.125,0.0,0.0,0.125,0.857,1.0,0.0,,,1.0,0.833,1.0,0.25,2,0.0,,0,0,
11.0,Cam Christie,19.0,SG,3,0,13,0.667,18.3,0.333,0.333,0.0,0.0,0.0,0.667,1.0,1.0,,,,0.5,0.0,1.0,0.0,0,0.0,,0,0,
12.0,Drew Eubanks,27.0,C,3,0,13,0.0,5.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0,,,0,0,
13.0,Jordan Miller,25.0,SF,3,0,13,0.429,6.0,0.857,0.571,0.286,0.0,0.0,0.143,0.5,0.5,0.5,,,0.0,0.667,,0.0,0,0.0,,0,0,
14.0,Patty Mills,36.0,PG,1,0,4,0.5,14.6,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,,1.0,,1.0,0.0,0,0.0,,0,0,
,Team Totals,,,7,7,1706,0.486,12.8,0.61,0.194,0.284,0.1,0.032,0.39,0.565,0.722,0.53,0.407,0.421,0.364,0.569,0.786,0.057,31,0.264,0.344,2,0,
