Player,Team,Update,Description
Tyler Herro,Miami Heat,"Wed, Dec 17, 2025",Out (Toe) - The Heat listed Herro as Out on Thursday's (Dec. 18) game against the Nets.
Nikola Jović,Miami Heat,"Wed, Dec 17, 2025",Out (Elbow) - The Heat said on Wednesday (Dec. 17) that Jovic is expected to miss at least 1 week.
Pelle Larsson,Miami Heat,"Wed, Dec 17, 2025",Out (Ankle) - The Heat listed Larsson as Out on Thursday's (Dec. 18) game against the Nets.
Norman Powell,Miami Heat,"Wed, Dec 17, 2025",Day To Day (Calf) - The Heat listed Powell as Questionable on Thursday's (Dec. 18) game against the Nets.
