Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Davion Mitchell,27,PG,25,25,761,4.7,9.2,0.508,1.2,3.2,0.388,3.5,6.1,0.57,0.574,1.1,1.7,0.639,0.5,2.8,3.3,9.1,1.5,0.1,1.7,3.4,11.7,
2,Andrew Wiggins,30,SF,23,23,757,7.1,14.8,0.481,1.9,5.1,0.38,5.2,9.7,0.534,0.546,1.9,2.7,0.702,1.7,3.6,5.2,3.1,1.2,1.3,1.9,2.8,18.1,
3,Jaime Jaquez Jr.,24,SF,25,0,731,7.6,14.9,0.513,0.4,1.8,0.216,7.2,13.1,0.555,0.526,3.3,4.2,0.767,1.7,5.4,7.1,6.1,1.0,0.3,2.7,2.8,18.9,
4,Norman Powell,32,SG,21,21,648,9.3,18.9,0.493,3.5,8.2,0.429,5.8,10.8,0.541,0.585,6.3,7.3,0.856,0.4,3.9,4.3,2.9,1.3,0.3,2.2,2.8,28.4,
5,Kel'el Ware,21,C,26,16,622,6.5,12.2,0.533,1.4,3.4,0.407,5.1,8.7,0.583,0.59,2.3,2.8,0.816,4.8,10.6,15.4,0.8,1.4,2.0,1.7,2.8,16.7,
6,Bam Adebayo,28,C,20,20,618,8.0,16.7,0.481,1.9,5.7,0.34,6.1,11.1,0.553,0.538,4.4,5.6,0.781,1.6,8.9,10.5,2.9,1.2,1.0,2.0,1.5,22.4,
7,Pelle Larsson,24,SG,24,16,525,4.9,11.0,0.444,1.7,5.1,0.338,3.2,5.9,0.535,0.522,2.9,3.7,0.778,0.8,3.4,4.1,5.2,0.9,0.3,1.7,3.2,14.3,
8,Simone Fontecchio,30,SF,25,1,473,5.9,14.7,0.404,3.9,10.6,0.367,2.1,4.1,0.5,0.536,2.4,3.0,0.821,0.8,4.8,5.6,3.0,0.8,0.4,1.9,3.3,18.2,
9,Dru Smith,28,SG,26,1,440,4.7,10.7,0.443,1.6,4.5,0.364,3.1,6.2,0.5,0.519,2.3,2.9,0.778,2.0,3.6,5.6,5.9,3.1,0.7,2.0,3.4,13.4,
10,Nikola Jović,22,PF,19,1,347,4.8,12.2,0.39,1.8,6.2,0.283,3.0,6.0,0.5,0.462,2.9,4.0,0.718,1.1,5.8,7.0,5.2,1.0,0.7,3.6,4.1,14.2,
11,Tyler Herro,26,SG,6,6,191,9.4,18.7,0.505,2.8,7.0,0.405,6.6,11.7,0.565,0.581,4.5,4.9,0.923,0.6,5.1,5.7,2.6,1.1,0.6,1.3,1.7,26.2,
12,Keshad Johnson,24,SF,10,0,119,3.9,11.5,0.342,1.2,4.8,0.25,2.7,6.7,0.409,0.395,2.7,3.9,0.692,3.3,5.7,9.1,0.3,1.5,1.2,0.9,3.0,11.8,
13,Jahmir Young,25,PG,5,0,24,6.0,16.5,0.364,3.0,7.5,0.4,3.0,9.0,0.333,0.455,0.0,0.0,,0.0,3.0,3.0,6.0,1.5,0.0,3.0,4.5,15.0,
14,Myron Gardner,24,SF,4,0,9,8.0,8.0,1.0,8.0,8.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,8.0,8.0,4.0,0.0,0.0,0.0,16.0,24.0,
15,Kasparas Jakučionis,19,PG,1,0,1,0.0,72.0,0.0,0.0,0.0,,0.0,72.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,
