Rk,Unnamed: 1,Salary
1,Zach LaVine,"$37,096,500"
2,DeMar DeRozan,"$27,300,000"
3,Nikola Vučević,"$22,000,000"
4,Lonzo Ball,"$19,534,884"
5,Alex Caruso,"$9,030,000"
6,Patrick Williams,"$7,775,400"
7,Coby White,"$7,413,955"
8,Andre Drummond,"$3,200,000"
9,Derrick Jones,"$3,200,000"
10,Dalen Terry,"$3,191,400"
11,Tony Bradley,"$2,036,318"
12,Goran Dragić,"$1,836,090"
13,Javonte Green,"$1,815,677"
14,Marko Simonovic,"$1,563,518"
15,Ayo Dosunmu,"$1,563,518"
16,Patrick Beverley,"$506,508"
17,Carlik Jones,"$357,717"
18,Justin Lewis,
19,Malcolm Hill,
20,Kostas Antetokounmpo,
21,Carlik Jones,
22,Terry Taylor,
23,Justin Lewis,
