Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Julius Randle,31,27,27,915,11.0,22.4,0.492,2.5,7.1,0.346,8.5,15.3,0.56,0.547,8.1,9.8,0.824,2.3,7.9,10.2,8.1,1.5,0.2,3.8,3.7,32.6,123,114,
2,Jaden McDaniels,25,26,26,857,8.8,17.2,0.51,2.2,5.2,0.419,6.6,12.0,0.549,0.573,3.1,3.6,0.859,1.8,5.2,7.0,4.0,1.7,1.4,2.7,5.3,22.8,117,114,
3,Donte DiVincenzo,29,27,27,853,6.8,16.5,0.413,4.7,12.3,0.379,2.1,4.2,0.514,0.555,2.8,3.5,0.79,1.6,5.1,6.6,5.7,1.9,0.8,2.0,3.7,21.0,122,115,
4,Rudy Gobert,33,27,27,843,7.3,9.8,0.746,0.0,0.0,,7.3,9.8,0.746,0.746,3.2,6.0,0.528,5.7,10.4,16.2,3.0,0.7,2.3,2.3,4.5,17.9,136,112,
5,Naz Reid,26,27,0,715,9.5,20.9,0.457,4.4,11.5,0.384,5.1,9.3,0.547,0.563,1.8,2.3,0.771,2.0,9.1,11.1,4.5,1.9,1.5,2.6,4.8,25.3,114,111,
6,Anthony Edwards,24,20,20,687,13.5,27.0,0.5,4.7,11.2,0.416,8.8,15.7,0.56,0.587,8.4,10.1,0.833,1.0,5.8,6.8,5.3,1.7,1.1,4.2,2.9,40.0,120,114,
7,Mike Conley,38,24,5,459,3.9,10.7,0.363,2.7,7.4,0.366,1.1,3.2,0.355,0.49,2.8,3.0,0.931,0.9,3.7,4.6,8.0,1.5,0.3,1.8,4.4,13.3,125,117,
8,Jaylen Clark,24,25,0,368,5.1,12.1,0.419,2.0,6.1,0.319,3.1,6.0,0.522,0.5,2.3,3.9,0.6,3.4,3.5,6.9,1.6,2.6,0.4,1.2,5.5,14.5,114,114,
9,Rob Dillingham,21,24,0,253,7.2,19.9,0.362,1.3,4.4,0.304,5.9,15.6,0.378,0.395,1.9,2.7,0.714,0.9,4.0,4.9,8.7,3.0,0.4,4.7,5.1,17.6,89,113,
10,Terrence Shannon Jr.,25,18,0,249,5.4,13.5,0.4,2.3,5.8,0.4,3.1,7.7,0.4,0.486,3.7,4.8,0.76,1.2,4.2,5.4,2.7,1.2,0.2,2.7,5.4,16.8,103,117,
11,Bones Hyland,25,18,3,210,8.0,16.2,0.493,3.7,10.3,0.356,4.3,5.9,0.731,0.606,2.7,3.2,0.857,0.9,4.1,5.0,7.5,1.8,0.2,3.7,6.2,22.4,120,116,
12,Leonard Miller,22,9,0,38,7.6,15.2,0.5,0.0,6.3,0.0,7.6,8.8,0.857,0.5,3.8,6.3,0.6,1.3,12.6,13.9,5.1,2.5,0.0,5.1,8.8,18.9,95,109,
13,Joan Beringer,19,9,0,37,10.4,14.3,0.727,0.0,0.0,,10.4,14.3,0.727,0.727,2.6,3.9,0.667,2.6,13.0,15.6,0.0,1.3,2.6,2.6,11.7,23.3,123,108,
14,Joe Ingles,38,8,0,23,0.0,4.2,0.0,0.0,4.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,12.5,2.1,0.0,0.0,4.2,0.0,122,118,
15,Johnny Juzang,24,8,0,22,6.5,19.6,0.333,4.4,15.3,0.286,2.2,4.4,0.5,0.444,2.2,4.4,0.5,2.2,4.4,6.5,2.2,0.0,0.0,2.2,6.5,19.6,95,120,
