Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Joan Beringer,19.0,PF,9,0,37,0.727,0.727,,0.727,0.667,0.731,0.273,0.0,155,133.0,,134,85.0,125,98,0,4.0,3.6,
2.0,Jaylen Clark,24.0,SG,25,0,368,0.419,0.522,0.319,0.5,0.6,0.523,0.323,0.505,89,95.0,89.0,92,76.0,90,116,122,-8.3,-12.8,
3.0,Mike Conley,38.0,PG,24,5,459,0.363,0.355,0.366,0.49,0.931,0.553,0.284,0.696,77,65.0,102.0,90,118.0,95,102,168,-11.1,-6.8,
4.0,Rob Dillingham,21.0,PG,24,0,253,0.362,0.378,0.304,0.395,0.714,0.418,0.133,0.219,77,69.0,85.0,73,91.0,72,48,53,-31.4,-36.6,
5.0,Donte DiVincenzo,29.0,SG,27,27,853,0.413,0.514,0.379,0.555,0.79,0.584,0.212,0.747,88,94.0,105.0,102,100.0,100,76,180,5.8,0.6,
6.0,Anthony Edwards,24.0,SG,20,20,687,0.5,0.56,0.416,0.587,0.833,0.638,0.373,0.417,106,102.0,116.0,108,106.0,109,134,101,32.5,49.1,
7.0,Rudy Gobert,33.0,C,27,27,843,0.746,0.746,,0.746,0.528,0.715,0.613,0.0,159,136.0,,137,67.0,123,220,0,69.5,57.9,
8.0,Bones Hyland,25.0,PG,18,3,210,0.493,0.731,0.356,0.606,0.857,0.635,0.197,0.634,105,133.0,99.0,111,109.0,109,71,153,8.6,8.0,
9.0,Joe Ingles,38.0,SF,8,0,23,0.0,,0.0,0.0,,0.0,0.0,1.0,0,,0.0,0,,0,0,241,-2.2,-2.3,
10.0,Johnny Juzang,24.0,SG,8,0,22,0.333,0.5,0.286,0.444,0.5,0.455,0.222,0.778,71,91.0,79.0,82,63.0,78,80,188,-1.8,-2.5,
11.0,Jaden McDaniels,25.0,PF,26,26,857,0.51,0.549,0.419,0.573,0.859,0.607,0.208,0.302,108,100.0,116.0,105,109.0,104,75,73,17.4,16.1,
12.0,Leonard Miller,22.0,SF,9,0,38,0.5,0.857,0.0,0.5,0.6,0.528,0.417,0.417,106,156.0,0.0,92,76.0,91,150,101,-1.1,-1.6,
13.0,Julius Randle,31.0,PF,27,27,915,0.492,0.56,0.346,0.547,0.824,0.61,0.438,0.319,105,102.0,96.0,100,105.0,105,157,77,1.8,27.2,
14.0,Naz Reid,26.0,C,27,0,715,0.457,0.547,0.384,0.563,0.771,0.578,0.113,0.553,97,100.0,107.0,103,98.0,99,40,133,11.2,-3.6,
15.0,Terrence Shannon Jr.,25.0,SG,18,0,249,0.4,0.4,0.4,0.486,0.76,0.537,0.357,0.429,85,73.0,111.0,89,96.0,92,128,103,-8.3,-7.4,
,Team Totals,,,27,27,6529,0.483,0.562,0.376,0.563,0.768,0.599,0.303,0.426,103,103.0,104.0,103,97.0,103,109,103,86.6,88.9,
