Player,Team,Update,Description
Mike Conley,Minnesota Timberwolves,"Thu, Dec 18, 2025",Day To Day (Achilles) - Conley did not play on Wednesday's (Dec. 17) game against the Grizzlies.
Anthony Edwards,Minnesota Timberwolves,"Thu, Dec 18, 2025",Day To Day (Foot) - Edwards did not play on Wednesday's (Dec. 17) game against the Grizzlies.
