Player,Team,Update,Description
Malaki Branham,Washington Wizards,"Wed, Dec 17, 2025",Day To Day (Thumb) - The Wizards listed Branham as Questionable on Thursday's (Dec. 18) game against the Spurs.
Corey Kispert,Washington Wizards,"Wed, Dec 17, 2025",Out (Thumb) - The Wizards listed Kispert as Out on Thursday's (Dec. 18) game against the Spurs.
Khris Middleton,Washington Wizards,"Wed, Dec 17, 2025",Out (Knee) - The Wizards listed Middleton as Out on Thursday's (Dec. 18) game against the Spurs.
Alex Sarr,Washington Wizards,"Sun, Dec 14, 2025",Day To Day (Adductor) - Sarr did not play in Sunday's (Dec. 14) game against Indiana.
