Rk,Unnamed: 1,Salary
1,Khris Middleton,"$33,296,296"
2,CJ McCollum,"$30,666,666"
3,Marcus Smart,"$21,586,855"
4,Corey Kispert,"$13,975,000"
5,Alex Sarr,"$11,808,240"
6,Tre Johnson,"$8,237,640"
7,Bilal Coulibaly,"$7,275,600"
8,Malaki Branham,"$4,962,033"
9,Blake Wesley,"$4,726,328"
10,Bub Carrington,"$4,677,600"
11,Cam Whitmore,"$3,539,760"
12,Will Riley,"$3,512,520"
13,AJ Johnson,"$3,090,480"
14,Kyshawn George,"$2,966,760"
15,Dillon Jones,"$2,753,280"
16,Justin Champagnie,"$2,349,578"
17,Marvin Bagley III,"$2,296,274"
18,Anthony Gill,"$2,296,274"
