Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Jimmy Butler,35.0,SF,11,11,397,0.447,0.491,0.306,0.484,0.8,0.564,0.526,0.237,96,90,85.0,89,103.0,98,217,56,
2.0,Stephen Curry,36.0,PG,8,8,281,0.477,0.6,0.4,0.6,0.893,0.636,0.215,0.615,102,110,111.0,110,114.0,110,89,146,
3.0,Draymond Green,34.0,PF,12,12,389,0.389,0.542,0.267,0.463,0.692,0.479,0.12,0.556,83,99,74.0,85,89.0,83,50,132,
4.0,Buddy Hield,32.0,SG,12,9,327,0.416,0.396,0.429,0.548,0.929,0.572,0.112,0.616,89,73,119.0,101,119.0,99,46,146,
5.0,Trayce Jackson-Davis,24.0,C,9,3,80,0.889,0.889,,0.889,0.385,0.78,0.722,0.0,190,163,,164,49.0,135,297,0,
6.0,Braxton Key,27.0,SF,5,0,23,0.125,0.143,0.0,0.125,,0.125,0.0,0.125,27,26,0.0,23,,22,0,30,
7.0,Kevin Knox,25.0,SF,5,0,38,0.4,0.5,0.167,0.425,0.8,0.473,0.25,0.3,86,92,46.0,78,103.0,82,103,71,
8.0,Jonathan Kuminga,22.0,PF,8,1,187,0.484,0.515,0.4,0.538,0.71,0.572,0.333,0.269,104,94,111.0,99,91.0,99,137,64,
9.0,Kevon Looney,28.0,C,12,0,120,0.435,0.435,,0.435,0.75,0.49,0.348,0.0,93,80,,80,96.0,85,143,0,
10.0,Moses Moody,22.0,SG,12,2,193,0.35,0.371,0.333,0.444,0.824,0.486,0.213,0.563,75,68,93.0,82,106.0,84,88,134,
11.0,Gary Payton II,32.0,SG,11,1,180,0.447,0.5,0.391,0.543,,0.543,0.0,0.489,96,92,109.0,100,,94,0,116,
12.0,Brandin Podziemski,21.0,SG,12,11,385,0.364,0.4,0.328,0.447,0.708,0.473,0.182,0.508,78,73,91.0,82,91.0,82,75,121,
13.0,Quinten Post,24.0,PF,12,2,146,0.333,0.375,0.313,0.438,0.75,0.452,0.083,0.667,71,69,87.0,81,96.0,78,34,158,
14.0,Gui Santos,22.0,PF,10,0,72,0.529,0.714,0.4,0.647,0.667,0.662,0.353,0.588,113,131,111.0,119,85.0,115,145,140,
15.0,Pat Spencer,28.0,PG,8,0,63,0.64,0.682,0.333,0.66,1.0,0.684,0.12,0.12,137,125,93.0,122,128.0,119,49,28,
,Team Totals,,,12,12,2881,0.431,0.496,0.353,0.511,0.768,0.545,0.24,0.453,92,91,98.0,94,99.0,95,99,108,
