Rk,Unnamed: 1,Salary
1,Damian Lillard,"$31,626,953"
2,CJ McCollum,"$29,354,152"
3,Jusuf Nurkić,"$12,888,889"
4,Robert Covington,"$12,138,345"
5,Norman Powell,"$10,865,952"
6,Derrick Jones,"$9,258,000"
7,Zach Collins,"$5,406,255"
8,Enes Freedom,"$5,005,350"
9,Andrew Nicholson,"$2,844,430"
10,Anfernee Simons,"$2,252,040"
11,Nassir Little,"$2,210,640"
12,Anderson Varejão,"$1,913,345"
13,Carmelo Anthony,"$1,620,564"
14,Harry Giles,"$1,620,564"
15,CJ Elleby,"$898,310"
16,Rondae Hollis-Jefferson,"$432,891"
17,T.J. Leaf,$0
18,Keljin Blevins,$0
