Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Keldon Johnson,23.0,SF,63,63,2063,0.452,12.7,0.634,0.27,0.27,0.08,0.014,0.366,0.523,0.657,0.455,0.337,0.313,0.329,0.509,0.903,0.022,22,0.226,0.348,2,0,
2.0,Tre Jones,23.0,PG,68,65,1984,0.459,10.7,0.787,0.276,0.262,0.21,0.039,0.213,0.506,0.673,0.385,0.442,0.483,0.285,0.26,0.867,0.004,1,0.323,0.255,0,0,
3.0,Malaki Branham,19.0,SG,66,32,1550,0.44,15.5,0.583,0.149,0.203,0.146,0.085,0.417,0.539,0.637,0.524,0.517,0.442,0.302,0.495,0.922,0.02,9,0.208,0.358,0,0,
4.0,Jeremy Sochan,19.0,PF,56,53,1458,0.453,10.4,0.757,0.341,0.279,0.085,0.053,0.243,0.519,0.665,0.39,0.447,0.379,0.246,0.59,1.0,0.127,60,0.254,0.147,5,0,
5.0,Keita Bates-Diop,27.0,PF,67,42,1452,0.508,10.4,0.695,0.34,0.303,0.047,0.004,0.305,0.557,0.696,0.44,0.364,0.0,0.394,0.65,0.982,0.039,15,0.43,0.377,0,0,
6.0,Zach Collins,25.0,C,63,26,1441,0.518,11.1,0.732,0.301,0.297,0.082,0.051,0.268,0.571,0.679,0.54,0.378,0.429,0.374,0.581,1.0,0.044,21,0.061,0.222,1,0,
7.0,Doug McDermott,31.0,SF,64,0,1314,0.457,17.3,0.43,0.176,0.163,0.054,0.038,0.57,0.516,0.707,0.412,0.393,0.25,0.413,0.845,0.984,0.027,14,0.198,0.407,1,0,
8.0,Jakob Poeltl,27.0,C,46,46,1199,0.616,4.9,0.997,0.5,0.343,0.152,0.003,0.003,0.618,0.768,0.481,0.441,0.0,0.0,0.598,,0.039,15,0.0,,1,0,
9.0,Devin Vassell,22.0,SG,38,32,1178,0.439,17.6,0.553,0.141,0.081,0.176,0.155,0.447,0.48,0.643,0.333,0.41,0.489,0.387,0.456,0.883,0.035,17,0.165,0.477,3,0,
10.0,Josh Richardson,29.0,SG,42,6,997,0.436,18.7,0.49,0.089,0.101,0.187,0.113,0.51,0.518,0.639,0.585,0.395,0.565,0.357,0.417,0.878,0.012,5,0.13,0.481,1,0,
11.0,Romeo Langford,23.0,SG,43,21,844,0.467,10.1,0.764,0.29,0.351,0.093,0.031,0.236,0.53,0.68,0.429,0.458,0.5,0.262,0.543,1.0,0.054,13,0.541,0.333,0,0,
12.0,Blake Wesley,19.0,SG,37,1,669,0.321,11.8,0.758,0.279,0.233,0.126,0.121,0.242,0.301,0.517,0.14,0.222,0.192,0.385,0.306,0.95,0.065,12,0.269,0.5,1,0,
13.0,Devonte' Graham,27.0,PG,20,8,527,0.38,22.0,0.26,0.06,0.09,0.04,0.07,0.74,0.442,0.75,0.389,0.5,0.214,0.358,0.217,0.736,0.0,0,0.101,0.533,1,0,
14.0,Charles Bassey,22.0,C,35,2,508,0.644,5.3,0.941,0.548,0.267,0.096,0.03,0.059,0.661,0.757,0.556,0.462,0.5,0.375,0.643,0.667,0.178,22,0.25,0.0,0,0,
15.0,Isaiah Roby,24.0,PF,42,2,474,0.432,13.1,0.613,0.265,0.277,0.026,0.045,0.387,0.516,0.707,0.395,0.25,0.286,0.3,0.612,1.0,0.084,12,0.183,0.364,0,0,
16.0,Stanley Johnson,26.0,SF,30,0,469,0.533,12.1,0.672,0.262,0.287,0.098,0.025,0.328,0.573,0.688,0.514,0.417,0.667,0.45,0.468,0.944,0.016,2,0.35,0.571,1,0,
17.0,Sandro Mamukelashvili,23.0,C,19,7,443,0.453,12.4,0.61,0.36,0.192,0.047,0.012,0.39,0.524,0.613,0.455,0.25,0.0,0.343,0.636,1.0,0.023,3,0.179,0.417,0,0,
18.0,Dominick Barlow,19.0,PF,28,0,408,0.535,5.5,0.953,0.523,0.256,0.14,0.035,0.047,0.561,0.711,0.409,0.25,0.667,0.0,0.739,,0.151,12,0.75,0.0,0,0,
19.0,Gorgui Dieng,33.0,C,31,1,358,0.385,19.3,0.359,0.137,0.06,0.111,0.051,0.641,0.571,0.75,0.429,0.462,0.5,0.28,0.667,0.905,0.051,6,0.093,0.429,0,0,
