Rk,Unnamed: 1,Salary
1,Gary Harris,"$20,482,143"
2,Jonathan Isaac,"$17,400,000"
3,Markelle Fultz,"$16,500,000"
4,Terrence Ross,"$12,500,000"
5,Mohamed Bamba,"$7,568,742"
6,Wendell Carter,"$6,920,027"
7,Jalen Suggs,"$6,592,920"
8,Timofey Mozgov,"$5,573,334"
9,Franz Wagner,"$5,007,840"
10,Robin Lopez,"$5,000,000"
11,Cole Anthony,"$3,449,400"
12,Michael Carter-Williams,"$3,300,000"
13,Chuma Okeke,"$3,277,080"
14,E'Twaun Moore,"$2,641,691"
15,R.J. Hampton,"$2,303,040"
16,Bol Bol,"$2,161,152"
17,PJ Dozier,"$1,910,860"
18,Moritz Wagner,"$1,729,217"
19,Tim Frazier,"$257,418"
20,Devin Cannady,"$185,578"
21,Freddie Gillespie,"$171,156"
22,Admiral Schofield,"$171,156"
23,Hassani Gravett,"$106,352"
24,B.J. Johnson,"$95,930"
25,Aleem Ford,"$53,176"
26,Jeff Dowtin,"$53,176"
27,Mychal Mulder,$0
28,Ignas Brazdeikis,$0
