Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Lewis Dunk,eng ENG,DF,33-331,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.29,10.0,10.0,0.0,0.0,,11.2,9.1,2.1,0.3,,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.29,10.0,10.0,0.0,0.0,,11.2,9.1,2.1,0.3,,Matches
Bart Verbruggen,nl NED,GK,23-061,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.29,10.0,10.0,0.0,0.0,,11.2,9.1,2.1,0.3,,Matches
Yankuba Minteh,gm GAM,FW,21-088,7,591.0,84.0,93.8,6.6,7,84.0,4,0,,0,1.29,10.0,8.0,2.0,0.3,4.92,10.4,8.7,1.7,0.26,-0.68,Matches
Kaoru Mitoma,jp JPN,FW,28-151,6,508.0,85.0,80.6,5.6,6,85.0,4,0,,0,1.33,6.0,8.0,-2.0,-0.35,-1.83,7.8,7.9,0.0,-0.01,-1.6,Matches
Carlos Baleba,cm CMR,MF,21-288,7,353.0,50.0,56.0,3.9,6,55.0,0,1,24.0,0,1.29,3.0,5.0,-2.0,-0.51,-1.16,4.0,5.7,-1.7,-0.42,-1.65,Matches
Yasin Ayari,se SWE,MF,22-012,7,544.0,78.0,86.3,6.0,5,85.0,4,2,59.0,0,1.29,10.0,9.0,1.0,0.17,1.21,10.2,7.1,3.2,0.52,1.64,Matches
Danny Welbeck,eng ENG,FW,34-326,7,368.0,53.0,58.4,4.1,4,77.0,2,3,21.0,0,1.29,5.0,8.0,-3.0,-0.73,-1.76,6.7,5.7,1.0,0.25,-0.13,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,6,367.0,61.0,58.3,4.1,4,73.0,0,2,38.0,0,1.5,8.0,4.0,4.0,0.98,2.35,6.4,4.7,1.6,0.4,0.24,Matches
Joël Veltman,nl NED,DF,33-276,4,324.0,81.0,51.4,3.6,4,81.0,3,0,,2,1.75,5.0,6.0,-1.0,-0.28,-0.57,4.3,5.7,-1.4,-0.4,-1.44,Matches
Maxim De Cuyper,be BEL,DF,24-300,6,296.0,49.0,47.0,3.3,4,67.0,2,2,14.0,0,1.33,6.0,5.0,1.0,0.3,0.57,6.7,4.3,2.5,0.75,0.84,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,6,377.0,63.0,59.8,4.2,3,88.0,2,3,38.0,1,1.0,7.0,6.0,1.0,0.24,0.59,6.3,5.5,0.8,0.2,-0.26,Matches
Diego Gómez,py PAR,MF,22-205,6,311.0,52.0,49.4,3.5,3,73.0,0,3,30.0,0,1.5,1.0,5.0,-4.0,-1.16,-2.29,3.6,4.5,-1.0,-0.29,-1.15,Matches
Mats Wieffer,nl NED,DF,25-336,5,285.0,57.0,45.2,3.2,3,81.0,1,2,21.0,0,1.2,4.0,4.0,0.0,0.0,0.0,6.7,3.0,3.7,1.17,1.58,Matches
Brajan Gruda,de GER,"MF,FW",21-140,7,223.0,32.0,35.4,2.5,2,66.0,0,5,18.0,0,1.29,7.0,3.0,4.0,1.61,2.5,6.3,2.7,3.6,1.45,1.78,Matches
Matt O'Riley,dk DEN,MF,24-331,2,177.0,89.0,28.1,2.0,2,89.0,1,0,,1,0.5,1.0,2.0,-1.0,-0.51,-0.71,3.5,2.1,1.4,0.74,0.6,Matches
Jack Hinshelwood,eng ENG,MF,20-190,3,107.0,36.0,17.0,1.2,2,31.0,0,1,45.0,0,1.0,0.0,2.0,-2.0,-1.68,-2.03,1.0,2.3,-1.3,-1.09,-1.68,Matches
James Milner,eng ENG,MF,39-287,5,141.0,28.0,22.4,1.6,1,66.0,0,4,19.0,2,1.2,4.0,4.0,0.0,0.0,0.0,3.6,1.9,1.7,1.05,0.97,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,3,51.0,17.0,8.1,0.6,0,,0,3,17.0,1,1.33,3.0,0.0,3.0,5.29,5.76,1.6,0.7,0.9,1.54,1.35,Matches
Diego Coppola,it ITA,DF,21-294,2,17.0,9.0,2.7,0.2,0,,0,2,9.0,5,2.0,0.0,1.0,-1.0,-5.29,-5.44,0.3,0.1,0.2,1.1,0.82,Matches
Olivier Boscagli,fr FRA,DF,27-334,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Charalampos Kostoulas,gr GRE,FW,18-141,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jason Steele,eng ENG,GK,35-061,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Tom Watson,eng ENG,MF,19-193,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,26.1,7,630.0,90.0,100.0,7.0,77,79.0,44,33,25.0,30,1.29,10.0,10.0,0.0,0.0,,11.2,9.1,2.1,0.3,,
Opponent Total,,,26.4,7,630.0,90.0,100.0,7.0,77,79.0,45,31,16.0,32,1.29,10.0,10.0,0.0,0.0,,9.1,11.2,-2.1,-0.3,,
