Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Marc Guéhi,eng ENG,DF,25-097,7.0,380,355,24,11,0,4,2,1,0,0,0,0,326,1,1,Matches
Dean Henderson,eng ENG,GK,28-220,7.0,262,175,87,25,0,0,0,0,0,0,0,0,168,0,0,Matches
Maxence Lacroix,fr FRA,DF,25-195,7.0,301,293,8,7,1,1,2,1,0,0,0,0,263,0,1,Matches
Tyrick Mitchell,eng ENG,"DF,MF",26-047,7.0,305,248,56,1,0,1,25,55,0,0,0,0,220,1,20,Matches
Daniel Muñoz,co COL,"DF,MF",29-145,7.0,241,202,37,4,0,1,13,33,0,0,0,0,182,2,5,Matches
Chris Richards,us USA,DF,25-204,7.0,260,239,21,2,1,4,1,19,0,0,0,0,211,0,1,Matches
Jean-Philippe Mateta,fr FRA,FW,28-112,6.7,82,77,5,0,2,0,2,0,0,0,0,0,52,0,10,Matches
Adam Wharton,eng ENG,MF,21-254,5.0,204,191,13,8,5,2,13,0,5,5,0,0,160,0,5,Matches
Daichi Kamada,jp JPN,MF,29-074,4.8,176,159,16,6,3,1,14,0,9,8,0,0,137,1,2,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-235,4.8,95,94,0,0,1,0,3,0,0,0,0,0,70,1,3,Matches
Will Hughes,eng ENG,MF,30-184,4.6,154,144,10,7,0,0,10,0,3,2,1,0,123,0,1,Matches
Yeremi Pino,es ESP,MF,22-363,3.4,123,116,6,0,5,1,7,0,4,3,0,0,88,1,1,Matches
Jefferson Lerma,co COL,MF,30-358,2.1,85,75,10,1,1,0,1,9,0,0,0,0,66,0,0,Matches
Justin Devenny,nir NIR,"MF,FW",22-007,1.7,54,50,3,1,1,0,1,0,0,0,0,0,38,1,2,Matches
Eberechi Eze,eng ENG,MF,27-111,0.9,25,19,6,3,0,1,4,0,2,2,0,0,16,0,0,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-141,0.6,13,12,1,0,0,0,0,0,0,0,0,0,10,0,0,Matches
Romain Esse,eng ENG,FW,20-158,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1,Matches
Christantus Uche,ng NGA,MF,22-152,0.1,10,10,0,0,0,0,2,0,0,0,0,0,5,0,0,Matches
Nathaniel Clyne,eng ENG,DF,34-196,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Odsonne Édouard,fr FRA,FW,27-275,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.8,7.0,2781,2469,303,76,20,16,100,118,23,20,1,0,2143,9,53,
Opponent Total,,,26.8,7.0,3925,3580,339,84,18,19,170,146,43,23,14,0,3266,6,69,
