Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Gabriel Magalhães,br BRA,DF,27-303,7.0,1,5,1,20.0,0.71,0.14,0.2,1.0,14.6,0,0,0,0.5,0.5,0.1,0.5,0.5,Matches
David Raya,es ESP,GK,30-033,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Viktor Gyökeres,se SWE,FW,27-136,6.4,3,14,4,28.6,2.19,0.62,0.14,0.5,11.6,0,1,1,3.0,2.2,0.16,0.0,-0.2,Matches
Riccardo Calafiori,it ITA,DF,23-152,5.8,1,14,1,7.1,2.4,0.17,0.07,1.0,14.3,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches
Martín Zubimendi,es ESP,MF,26-258,6.6,2,6,2,33.3,0.91,0.3,0.33,1.0,18.8,0,0,0,0.3,0.3,0.04,1.7,1.7,Matches
Declan Rice,eng ENG,MF,26-277,6.0,1,6,1,16.7,0.99,0.17,0.17,1.0,24.2,2,0,0,0.5,0.5,0.08,0.5,0.5,Matches
Jurriën Timber,nl NED,DF,24-123,5.8,2,9,5,55.6,1.55,0.86,0.22,0.4,8.6,0,0,0,1.8,1.8,0.21,0.2,0.2,Matches
William Saliba,fr FRA,DF,24-208,4.5,0,1,0,0.0,0.22,0.0,0.0,,8.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
Bukayo Saka,eng ENG,FW,24-043,3.8,2,8,2,25.0,2.08,0.52,0.13,0.5,19.6,0,1,1,1.2,0.4,0.05,0.8,0.6,Matches
Noni Madueke,eng ENG,FW,23-222,3.4,0,5,2,40.0,1.48,0.59,0.0,0.0,13.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Martin Ødegaard,no NOR,MF,26-305,2.3,0,4,1,25.0,1.77,0.44,0.0,0.0,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,3.5,0,11,4,36.4,3.17,1.15,0.0,0.0,15.9,0,0,0,1.1,1.1,0.1,-1.1,-1.1,Matches
Leandro Trossard,be BEL,FW,30-318,3.3,0,6,0,0.0,1.84,0.0,0.0,,9.3,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
Mikel Merino,es ESP,MF,29-118,2.7,1,4,2,50.0,1.47,0.73,0.25,0.5,7.5,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
Cristhian Mosquera,es ESP,DF,21-113,2.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gabriel Martinelli,br BRA,FW,24-122,2.1,1,3,2,66.7,1.46,0.97,0.33,0.5,18.3,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
Ben White,eng ENG,DF,28-010,0.8,0,1,0,0.0,1.29,0.0,0.0,,29.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Ethan Nwaneri,eng ENG,MF,18-211,1.7,0,5,0,0.0,3.02,0.0,0.0,,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kai Havertz,de GER,FW,26-129,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Max Dowman,eng ENG,FW,15-291,0.3,0,3,0,0.0,9.31,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Squad Total,,,26.1,7.0,14,105,27,25.7,15.0,3.86,0.11,0.44,15.1,2,2,2,11.9,10.3,0.1,2.1,1.7,
Opponent Total,,,26.6,7.0,3,56,18,32.1,8.0,2.57,0.05,0.17,17.2,2,0,0,4.3,4.3,0.08,-1.3,-1.3,
