Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Gabriel Magalhães,br BRA,DF,27-303,7.0,10,6,7,3,0,4,7,57.1,3,12,9,3,8,18,39,0,Matches
David Raya,es ESP,GK,30-033,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches
Viktor Gyökeres,se SWE,FW,27-136,6.4,2,2,0,1,1,0,1,0.0,1,2,0,2,0,2,6,0,Matches
Riccardo Calafiori,it ITA,DF,23-152,5.8,11,7,6,2,3,7,9,77.8,2,4,1,3,4,15,15,0,Matches
Martín Zubimendi,es ESP,MF,26-258,6.6,14,9,6,8,0,8,13,61.5,5,12,1,11,7,21,8,0,Matches
Declan Rice,eng ENG,MF,26-277,6.0,6,3,3,2,1,4,7,57.1,3,5,3,2,3,9,8,0,Matches
Jurriën Timber,nl NED,DF,24-123,5.8,25,14,10,9,6,5,9,55.6,4,3,0,3,6,31,16,0,Matches
William Saliba,fr FRA,DF,24-208,4.5,8,3,4,4,0,3,4,75.0,1,3,3,0,3,11,25,0,Matches
Bukayo Saka,eng ENG,FW,24-043,3.8,5,2,1,3,1,2,6,33.3,4,6,0,6,1,6,0,0,Matches
Noni Madueke,eng ENG,FW,23-222,3.4,3,2,0,1,2,3,9,33.3,6,2,0,2,1,4,0,0,Matches
Martin Ødegaard,no NOR,MF,26-305,2.3,3,1,1,0,2,1,1,100.0,0,0,0,0,1,4,5,0,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,3.5,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,2,0,Matches
Leandro Trossard,be BEL,FW,30-318,3.3,3,3,1,2,0,1,4,25.0,3,2,0,2,2,5,1,0,Matches
Mikel Merino,es ESP,MF,29-118,2.7,5,1,1,1,3,2,5,40.0,3,4,1,3,3,8,2,0,Matches
Cristhian Mosquera,es ESP,DF,21-113,2.8,8,6,3,4,1,3,3,100.0,0,3,2,1,5,13,8,0,Matches
Gabriel Martinelli,br BRA,FW,24-122,2.1,2,2,0,2,0,1,2,50.0,1,2,0,2,0,2,2,0,Matches
Ben White,eng ENG,DF,28-010,0.8,2,1,2,0,0,0,1,0.0,1,2,1,1,1,3,4,0,Matches
Ethan Nwaneri,eng ENG,MF,18-211,1.7,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,1,0,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,1.0,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,2,0,Matches
Kai Havertz,de GER,FW,26-129,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Max Dowman,eng ENG,FW,15-291,0.3,2,2,1,1,0,1,2,50.0,1,1,0,1,0,2,0,0,Matches
Squad Total,,,26.1,7.0,113,68,48,45,20,47,88,53.4,41,68,21,47,47,160,147,1,
Opponent Total,,,26.6,7.0,105,64,63,31,11,62,119,52.1,57,79,35,44,53,158,248,7,
