Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Moisés Caicedo,ec ECU,MF,23-350,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.57,13.0,9.0,4.0,0.57,,10.9,9.7,1.2,0.17,,Matches
Enzo Fernández,ar ARG,MF,24-274,7,618.0,88.0,98.1,6.9,7,88.0,6,0,,0,1.57,13.0,9.0,4.0,0.58,0.58,10.5,9.6,0.9,0.13,-2.37,Matches
João Pedro,br BRA,"FW,MF",24-022,7,584.0,83.0,92.7,6.5,7,83.0,4,0,,0,1.57,11.0,8.0,3.0,0.46,-1.49,9.5,8.5,1.0,0.15,-0.23,Matches
Robert Sánchez,es ESP,GK,27-334,7,544.0,78.0,86.3,6.0,7,78.0,6,0,,0,1.57,12.0,7.0,5.0,0.83,1.87,10.5,8.0,2.5,0.42,1.82,Matches
Pedro Neto,pt POR,FW,25-223,7,508.0,73.0,80.6,5.6,7,73.0,3,0,,0,1.57,11.0,5.0,6.0,1.06,2.54,9.2,5.7,3.5,0.62,2.32,Matches
Marc Cucurella,es ESP,DF,27-088,7,536.0,77.0,85.1,6.0,6,82.0,4,1,45.0,0,1.57,12.0,8.0,4.0,0.67,0.67,10.0,8.3,1.7,0.28,0.73,Matches
Trevoh Chalobah,eng ENG,DF,26-105,6,480.0,80.0,76.2,5.3,6,80.0,4,0,,0,1.33,11.0,5.0,6.0,1.13,2.32,9.1,5.2,3.9,0.73,2.36,Matches
Reece James,eng ENG,DF,25-314,7,425.0,61.0,67.5,4.7,4,87.0,3,3,26.0,0,1.57,6.0,7.0,-1.0,-0.21,-2.41,5.7,8.5,-2.8,-0.59,-2.34,Matches
Estêvão Willian,br BRA,FW,18-177,6,264.0,44.0,41.9,2.9,4,53.0,0,2,27.0,0,1.67,9.0,1.0,8.0,2.73,3.71,7.9,1.4,6.5,2.23,3.54,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,4,354.0,89.0,56.2,3.9,3,90.0,3,1,84.0,0,1.75,10.0,5.0,5.0,1.27,1.6,6.5,4.8,1.7,0.44,0.6,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,6,315.0,53.0,50.0,3.5,3,83.0,2,3,22.0,1,1.67,10.0,5.0,5.0,1.43,1.71,6.7,5.7,1.0,0.28,0.23,Matches
Joshua Acheampong,eng ENG,DF,19-166,3,194.0,65.0,30.8,2.2,2,79.0,1,1,37.0,3,1.33,1.0,4.0,-3.0,-1.39,-2.84,2.2,4.3,-2.0,-0.94,-1.61,Matches
Jorrel Hato,nl NED,DF,19-225,4,168.0,42.0,26.7,1.9,2,62.0,0,2,23.0,3,1.75,2.0,2.0,0.0,0.0,-0.78,2.8,2.5,0.4,0.2,0.04,Matches
Jamie Gittens,eng ENG,FW,21-071,5,161.0,32.0,25.6,1.8,2,54.0,0,3,18.0,2,2.2,1.0,1.0,0.0,0.0,-0.77,1.9,2.5,-0.6,-0.33,-0.68,Matches
Cole Palmer,eng ENG,MF,23-165,3,145.0,48.0,23.0,1.6,2,55.0,1,1,35.0,0,0.67,2.0,2.0,0.0,0.0,-0.74,2.4,2.5,-0.1,-0.04,-0.27,Matches
Wesley Fofana,fr FRA,DF,24-305,3,130.0,43.0,20.6,1.4,2,54.0,0,1,22.0,2,1.33,0.0,3.0,-3.0,-2.08,-3.34,0.7,2.3,-1.6,-1.11,-1.62,Matches
Liam Delap,eng ENG,FW,22-252,3,92.0,31.0,14.6,1.0,2,37.0,0,1,18.0,0,2.33,5.0,1.0,4.0,3.91,3.91,2.9,0.3,2.6,2.54,2.77,Matches
Andrey Santos,br BRA,MF,21-168,5,174.0,35.0,27.6,1.9,1,53.0,0,4,30.0,1,1.4,2.0,1.0,1.0,0.52,-0.07,2.4,2.1,0.3,0.17,0.0,Matches
Alejandro Garnacho,ar ARG,FW,21-109,2,86.0,43.0,13.7,1.0,1,74.0,0,1,12.0,2,2.0,2.0,2.0,0.0,0.0,-0.66,0.3,2.2,-1.9,-2.0,-2.52,Matches
Benoît Badiashile,fr FRA,DF,24-206,2,66.0,33.0,10.5,0.7,1,54.0,0,1,12.0,0,1.5,1.0,2.0,-1.0,-1.36,-2.16,0.5,2.2,-1.6,-2.19,-2.64,Matches
Facundo Buonanotte,ar ARG,MF,20-299,1,45.0,45.0,7.1,0.5,1,45.0,0,0,,1,1.0,0.0,1.0,-1.0,-2.0,-2.77,0.3,0.5,-0.2,-0.48,-0.7,Matches
Tyrique George,eng ENG,FW,19-256,3,139.0,46.0,22.1,1.5,0,,0,3,46.0,2,1.33,5.0,1.0,4.0,2.59,2.59,3.2,1.5,1.7,1.09,1.18,Matches
Filip Jørgensen,dk DEN,GK,23-185,1,84.0,84.0,13.3,0.9,0,,0,1,84.0,6,0.0,1.0,2.0,-1.0,-1.07,-1.9,0.4,1.7,-1.3,-1.42,-1.84,Matches
Roméo Lavia,be BEL,MF,21-285,2,48.0,24.0,7.6,0.5,0,,0,2,24.0,0,1.5,1.0,3.0,-2.0,-3.75,-4.68,1.3,2.2,-1.0,-1.82,-2.16,Matches
Marc Guiu,es ESP,FW,19-287,1,16.0,16.0,2.5,0.2,0,,0,1,16.0,2,3.0,1.0,0.0,1.0,5.63,5.19,0.8,0.4,0.4,2.25,2.13,Matches
Landon Emenalo,eng ENG,MF,17-273,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Dario Essugo,pt POR,MF,20-218,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Gaga Slonina,us USA,GK,21-156,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,24.4,7,630.0,90.0,100.0,7.0,77,76.0,44,32,30.0,31,1.57,13.0,9.0,4.0,0.57,,10.9,9.7,1.2,0.17,,
Opponent Total,,,26.9,7,630.0,90.0,100.0,7.0,77,76.0,46,30,22.0,33,1.14,9.0,13.0,-4.0,-0.57,,9.7,10.9,-1.2,-0.17,,
