Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Robin Roefs,nl NED,GK,22-274,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Granit Xhaka,ch SUI,MF,33-021,7.0,22,3.14,12,10,0,0,0,0,4,0.57,3,1,0,0,0,0,Matches
Noah Sadiki,cd COD,MF,20-305,6.9,10,1.45,7,0,1,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Trai Hume,nir NIR,DF,23-214,6.9,11,1.6,7,2,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Omar Alderete,py PAR,DF,28-296,6.4,4,0.62,3,0,0,0,1,0,1,0.16,1,0,0,0,0,0,Matches
Chemsdine Talbi,ma MAR,FW,20-162,5.6,11,1.98,8,0,0,3,0,0,2,0.36,1,0,0,1,0,0,Matches
Nordi Mukiele,fr FRA,DF,27-351,5.0,9,1.8,3,4,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Reinildo Mandava,mz MOZ,DF,31-270,4.4,2,0.46,2,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Wilson Isidor,fr FRA,FW,25-052,4.2,5,1.19,1,0,2,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Enzo Le Fée,fr FRA,"FW,MF",25-257,4.2,8,1.91,5,1,0,1,1,0,2,0.48,1,0,0,0,1,0,Matches
Habib Diarra,sn SEN,MF,21-288,3.8,6,1.57,3,0,1,1,1,0,1,0.26,0,0,0,0,1,0,Matches
Simon Adingra,ci CIV,FW,23-290,3.0,8,2.64,7,0,1,0,0,0,1,0.33,1,0,0,0,0,0,Matches
Eliezer Mayenda,es ESP,FW,20-163,2.7,4,1.47,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Daniel Ballard,nir NIR,DF,26-026,2.5,4,1.62,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Arthur Masuaku,cd COD,"DF,MF",31-345,1.4,4,2.86,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Chris Rigg,eng ENG,MF,18-122,1.1,3,2.81,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jenson Seelt,nl NED,DF,22-148,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-042,1.0,2,2.02,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-092,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Brian Brobbey,nl NED,FW,23-259,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patrick Roberts,eng ENG,"MF,FW",28-255,0.3,1,3.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,2,12.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dan Neil,eng ENG,MF,23-309,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.3,7.0,118,16.86,75,17,7,11,5,3,12,1.71,8,1,0,1,2,0,
Opponent Total,,,27.0,7.0,157,22.43,124,10,5,11,4,3,12,1.71,11,0,1,0,0,0,
