Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Joe Rodon,wls WAL,DF,27-361,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.14,7.0,11.0,-4.0,-0.57,,7.6,7.9,-0.3,-0.04,,Matches
Pascal Struijk,nl NED,DF,26-068,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.14,7.0,11.0,-4.0,-0.57,,7.6,7.9,-0.3,-0.04,,Matches
Jayden Bogle,eng ENG,DF,25-083,7,612.0,87.0,97.1,6.8,7,87.0,4,0,,0,1.14,7.0,10.0,-3.0,-0.44,4.56,7.4,6.8,0.6,0.08,4.23,Matches
Gabriel Gudmundsson,se SWE,DF,26-172,7,607.0,87.0,96.3,6.7,7,87.0,5,0,,0,1.14,7.0,11.0,-4.0,-0.59,-0.59,7.3,7.8,-0.5,-0.08,-0.97,Matches
Anton Stach,de GER,MF,26-337,7,606.0,87.0,96.2,6.7,7,87.0,6,0,,0,1.14,7.0,11.0,-4.0,-0.59,-0.59,7.3,7.9,-0.6,-0.08,-1.14,Matches
Sean Longstaff,eng ENG,MF,27-353,7,476.0,68.0,75.6,5.3,5,88.0,4,2,17.0,0,1.14,6.0,7.0,-1.0,-0.19,1.56,5.4,5.2,0.2,0.04,0.32,Matches
Ethan Ampadu,wls WAL,MF,25-034,5,437.0,87.0,69.4,4.9,5,87.0,4,0,,0,1.4,6.0,6.0,0.0,0.0,1.87,5.7,4.3,1.4,0.28,1.04,Matches
Brenden Aaronson,us USA,FW,24-361,7,397.0,57.0,63.0,4.4,4,79.0,0,3,27.0,0,1.14,7.0,5.0,2.0,0.45,2.77,5.6,4.8,0.7,0.17,0.57,Matches
Karl Darlow,wls WAL,GK,35-010,4,360.0,90.0,57.1,4.0,4,90.0,4,0,,3,1.0,6.0,6.0,0.0,0.0,1.33,4.7,4.0,0.7,0.18,0.52,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-216,5,357.0,71.0,56.7,4.0,4,84.0,1,1,21.0,0,1.0,6.0,4.0,2.0,0.5,2.48,4.8,3.1,1.7,0.43,1.08,Matches
Noah Okafor,ch SUI,FW,25-147,5,306.0,61.0,48.6,3.4,4,70.0,0,1,25.0,1,0.8,6.0,5.0,1.0,0.29,1.68,4.2,3.2,1.0,0.31,0.68,Matches
Lucas Perri,br BRA,GK,27-312,3,270.0,90.0,42.9,3.0,3,90.0,3,0,,0,1.33,1.0,5.0,-4.0,-1.33,-1.33,2.9,3.9,-1.0,-0.34,-0.52,Matches
Daniel James,wls WAL,FW,27-342,4,213.0,53.0,33.8,2.4,3,67.0,0,1,12.0,1,1.0,0.0,4.0,-4.0,-1.69,-1.69,1.7,3.0,-1.3,-0.55,-0.76,Matches
Wilfried Gnonto,it ITA,FW,21-347,4,192.0,48.0,30.5,2.1,3,63.0,0,1,2.0,0,1.0,0.0,5.0,-5.0,-2.34,-2.55,1.7,2.3,-0.6,-0.27,-0.33,Matches
