Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Joe Rodon,wls WAL,DF,27-361,7.0,418,45,211,189,19,12,418,1,1,100.0,0,0.0,217,937,558,3,2,0,1,1,282,0,Matches
Pascal Struijk,nl NED,DF,26-068,7.0,479,58,237,224,18,9,479,0,0,,0,,266,1162,672,1,0,0,1,4,337,1,Matches
Jayden Bogle,eng ENG,DF,25-083,6.8,328,17,102,155,80,10,328,17,6,35.3,8,47.1,159,1127,605,18,13,4,8,8,171,29,Matches
Gabriel Gudmundsson,se SWE,DF,26-172,6.7,392,20,128,166,101,10,392,19,6,31.6,10,52.6,181,945,565,16,11,4,8,7,220,20,Matches
Anton Stach,de GER,MF,26-337,6.7,336,13,58,165,118,13,336,13,4,30.8,7,53.8,146,764,381,11,11,2,5,4,199,19,Matches
Sean Longstaff,eng ENG,MF,27-353,5.3,277,7,56,163,60,4,277,3,0,0.0,2,66.7,113,550,224,1,0,1,5,7,146,8,Matches
Ethan Ampadu,wls WAL,MF,25-034,4.9,349,16,96,215,40,3,349,3,2,66.7,1,33.3,163,784,369,5,4,0,4,0,224,6,Matches
Brenden Aaronson,us USA,FW,24-361,4.4,182,4,37,67,79,11,182,9,4,44.4,5,55.6,91,555,246,7,5,0,16,10,106,21,Matches
Karl Darlow,wls WAL,GK,35-010,4.0,184,149,183,2,0,0,184,0,0,,0,,119,563,368,0,0,0,0,0,92,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-216,4.0,111,2,2,50,60,16,111,6,1,16.7,5,83.3,63,276,103,4,1,4,19,5,90,18,Matches
Noah Okafor,ch SUI,FW,25-147,3.4,124,1,17,57,59,14,124,27,11,40.7,14,51.9,79,699,265,8,11,5,15,10,88,23,Matches
Lucas Perri,br BRA,GK,27-312,3.0,116,95,116,0,0,0,116,0,0,,0,,73,343,214,0,0,0,0,0,68,0,Matches
Daniel James,wls WAL,FW,27-342,2.4,73,1,9,25,41,7,73,4,1,25.0,3,75.0,37,283,190,8,3,4,4,0,48,17,Matches
Wilfried Gnonto,it ITA,FW,21-347,2.1,102,1,13,43,48,4,102,10,1,10.0,5,50.0,58,353,183,4,3,1,1,1,67,14,Matches
Ilia Gruev,bg BUL,MF,25-165,2.2,114,5,34,73,7,1,114,0,0,,0,,64,236,56,0,2,0,1,0,73,0,Matches
Ao Tanaka,jp JPN,MF,27-038,2.0,116,0,13,78,26,3,116,2,0,0.0,1,50.0,65,250,110,1,1,0,1,3,87,2,Matches
Joël Piroe,nl NED,"FW,MF",26-077,1.6,47,1,3,28,16,6,47,0,0,,0,,17,54,22,1,0,1,2,2,33,4,Matches
Lukas Nmecha,de GER,FW,26-308,1.7,55,6,9,29,20,7,54,0,0,,0,,35,137,36,1,3,0,6,4,41,8,Matches
Jack Harrison,eng ENG,"FW,DF",28-332,1.5,79,2,14,34,36,4,79,6,3,50.0,1,16.7,45,314,156,7,2,3,6,0,49,13,Matches
James Justin,eng ENG,DF,27-237,0.2,11,3,6,5,1,1,11,0,0,,0,,4,12,6,0,0,0,0,0,5,0,Matches
Sam Byram,eng ENG,DF,32-032,0.1,1,0,1,0,0,0,1,0,0,,0,,1,3,1,0,0,0,0,0,1,0,Matches
Squad Total,,,27.0,7.0,3894,446,1345,1768,829,135,3893,120,40,33.3,62,51.7,1996,10347,5330,96,72,29,103,66,2427,203,
Opponent Total,,,26.6,7.0,4544,428,1469,2069,1048,143,4543,146,59,40.4,70,47.9,2568,13103,6841,116,86,23,97,65,3062,283,
