Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
James Garner,eng ENG,"MF,DF",24-219,7.0,477,18,132,215,135,5,477,4,1,25.0,1,25.0,253,1078,392,5,9,0,8,1,265,12,Matches
Jake O'Brien,ie IRL,DF,24-156,7.0,383,23,116,161,109,9,383,11,2,18.2,9,81.8,155,670,292,8,11,0,6,8,186,19,Matches
Jordan Pickford,eng ENG,GK,31-225,7.0,325,192,308,17,0,0,325,0,0,,0,,192,1048,549,0,0,0,0,0,164,0,Matches
James Tarkowski,eng ENG,DF,32-333,7.0,409,66,205,177,28,10,409,4,2,50.0,2,50.0,211,1092,667,5,1,0,5,0,222,1,Matches
Idrissa Gana Gueye,sn SEN,MF,36-022,6.8,387,13,80,215,93,8,387,4,1,25.0,3,75.0,250,909,396,2,11,0,8,4,257,10,Matches
Michael Keane,eng ENG,DF,32-280,6.7,354,54,187,152,18,11,354,2,2,100.0,0,0.0,185,690,313,1,0,0,3,1,206,1,Matches
Iliman Ndiaye,sn SEN,FW,25-226,6.5,265,10,41,105,128,20,264,38,18,47.4,17,44.7,157,1068,426,16,14,6,25,16,161,32,Matches
Jack Grealish,eng ENG,FW,30-038,6.2,325,4,44,109,178,48,325,45,11,24.4,14,31.1,230,1728,1009,49,14,28,11,16,235,63,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-042,6.0,279,6,35,120,126,16,279,7,6,85.7,0,0.0,154,723,357,10,9,1,9,9,176,24,Matches
Beto,gw GNB,FW,27-260,4.7,121,6,8,49,64,24,121,8,2,25.0,6,75.0,58,228,41,1,2,1,22,7,90,21,Matches
Vitaliy Mykolenko,ua UKR,DF,26-142,3.9,251,19,76,113,62,7,251,2,0,0.0,2,100.0,138,515,288,7,7,0,5,3,140,19,Matches
Tim Iroegbunam,eng ENG,MF,22-110,2.7,108,9,26,65,19,0,108,4,2,50.0,2,50.0,54,210,101,1,1,0,3,3,58,5,Matches
Thierno Barry,fr FRA,FW,22-362,2.3,71,5,9,31,31,7,71,4,1,25.0,3,75.0,34,160,63,2,3,1,6,2,53,12,Matches
Carlos Alcaraz,ar ARG,"MF,FW",22-322,1.8,85,0,12,43,33,4,85,6,4,66.7,1,16.7,43,233,115,2,3,0,8,0,44,11,Matches
Tyler Dibling,eng ENG,FW,19-220,0.7,26,2,6,12,8,1,26,5,1,20.0,3,60.0,22,140,39,2,1,1,2,2,21,4,Matches
Merlin Röhl,de GER,MF,23-105,0.3,14,0,2,9,3,0,14,0,0,,0,,8,20,2,0,0,0,1,1,13,5,Matches
Dwight McNeil,eng ENG,FW,25-330,0.2,8,0,0,1,7,2,8,0,0,,0,,7,31,3,0,1,0,0,0,8,2,Matches
Séamus Coleman,ie IRL,FW,37-007,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Harrison Armstrong,eng ENG,FW,18-272,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,7.0,3888,427,1287,1594,1042,172,3887,144,53,36.8,63,43.8,2151,10543,5053,111,87,38,122,73,2299,241,
Opponent Total,,,26.8,7.0,4386,486,1501,1930,993,156,4384,111,35,31.5,58,52.3,2430,11933,5975,96,68,24,101,60,2797,264,
