Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Dan Burn,eng ENG,DF,33-162,7.0,9,6,6,0,3,4,13,30.8,9,5,1,4,9,18,40,0,Matches
Nick Pope,eng ENG,GK,33-182,7.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0,Matches
Sandro Tonali,it ITA,MF,25-163,6.7,11,8,8,3,0,6,16,37.5,10,12,1,11,7,18,7,1,Matches
Bruno Guimarães,br BRA,MF,27-336,6.0,13,8,4,9,0,4,12,33.3,8,2,0,2,2,15,1,0,Matches
Valentino Livramento,eng ENG,DF,22-340,5.8,6,4,4,2,0,3,7,42.9,4,1,0,1,2,8,11,0,Matches
Kieran Trippier,eng ENG,DF,35-029,4.8,5,2,2,3,0,5,12,41.7,7,2,0,2,4,9,10,0,Matches
Joelinton,br BRA,MF,29-065,4.4,6,1,1,3,2,2,5,40.0,3,4,1,3,7,13,4,0,Matches
Fabian Schär,ch SUI,DF,33-302,3.9,4,3,3,0,1,1,4,25.0,3,5,4,1,6,10,21,1,Matches
Sven Botman,nl NED,DF,25-279,3.8,3,1,1,2,0,0,0,,0,6,5,1,5,8,29,0,Matches
Jacob Murphy,eng ENG,"FW,MF",30-236,3.5,0,0,0,0,0,0,1,0.0,1,7,0,7,0,0,4,0,Matches
Nick Woltemade,de GER,FW,23-246,3.4,5,3,0,3,2,3,5,60.0,2,0,0,0,2,7,0,0,Matches
Anthony Gordon,eng ENG,FW,24-236,3.0,4,3,2,2,0,2,6,33.3,4,1,0,1,0,4,1,0,Matches
Anthony Elanga,se SWE,"FW,MF",23-174,3.7,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,5,0,Matches
Harvey Barnes,eng ENG,"FW,MF",27-313,3.5,2,1,0,2,0,2,3,66.7,1,3,0,3,0,2,2,0,Matches
Malick Thiaw,de GER,DF,24-071,3.0,4,2,4,0,0,2,2,100.0,0,4,2,2,8,12,17,0,Matches
Lewis Miley,eng ENG,MF,19-170,1.9,3,1,2,1,0,1,2,50.0,1,2,0,2,4,7,1,0,Matches
William Osula,dk DEN,FW,22-075,1.8,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
Lewis Hall,eng ENG,DF,21-040,1.5,6,3,3,2,1,3,5,60.0,2,3,1,2,2,8,3,0,Matches
Joe Willock,eng ENG,MF,26-059,1.0,4,4,3,1,0,3,5,60.0,2,1,0,1,1,5,2,0,Matches
Jacob Ramsey,eng ENG,MF,24-143,0.7,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Jamaal Lascelles,eng ENG,DF,31-341,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,Matches
Squad Total,,,28.0,7.0,89,52,44,36,9,43,102,42.2,59,61,17,44,59,148,169,2,
Opponent Total,,,26.7,7.0,99,57,48,45,6,51,91,56.0,40,73,26,47,74,173,220,3,
