Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Altay Bayındır,tr TUR,GK,27-187,6.0,11,0,0,2,0,9.4,0.43,-1.6,-0.26,28,95,29.5,176,15,47.7,37.5,16,68.8,49.1,63,6,9.5,7,1.17,13.0,Matches
Senne Lammens,be BEL,GK,23-103,1.0,0,0,0,0,0,0.9,0.31,0.9,0.94,10,37,27.0,39,2,76.9,50.7,7,100.0,68.1,13,2,15.4,3,3.0,16.8,Matches
Squad Total,,,26.3,7.0,11,0,0,2,0,10.4,0.42,-0.6,-0.09,38,132,28.8,202,17,56.4,,36,50.0,37.6,76,8,10.5,10,1.43,,
Opponent Total,,,26.1,7.0,9,1,0,1,2,9.4,0.25,2.4,0.34,33,128,25.8,199,31,41.2,36.2,66,69.7,50.6,103,4,3.9,6,0.86,12.2,
