Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Tijjani Reijnders,nl NED,MF,27-081,6.7,5,2,1,2,2,1,1,100.0,0,1,0,1,1,6,13,1,Matches
Erling Haaland,no NOR,FW,25-089,6.6,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,13,0,Matches
Rúben Dias,pt POR,DF,28-157,6.1,4,2,1,3,0,4,4,100.0,0,4,3,1,5,9,31,0,Matches
Nico O’Reilly,eng ENG,"DF,MF",20-211,4.4,17,7,9,6,2,11,15,73.3,4,6,3,3,4,21,11,0,Matches
Jeremy Doku,be BEL,"MF,FW",23-144,4.3,5,4,2,1,2,2,4,50.0,2,2,0,2,1,6,0,0,Matches
Bernardo Silva,pt POR,MF,31-069,4.1,7,4,3,4,0,5,11,45.5,6,3,1,2,3,10,8,0,Matches
Oscar Bobb,no NOR,"FW,MF",22-098,4.0,5,3,2,1,2,2,5,40.0,3,7,0,7,1,6,1,0,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Phil Foden,eng ENG,MF,25-143,3.9,5,4,4,1,0,3,3,100.0,0,2,1,1,1,6,5,0,Matches
Joško Gvardiol,hr CRO,DF,23-268,3.8,3,3,1,2,0,0,1,0.0,1,6,3,3,4,7,20,1,Matches
Rodri,es ESP,MF,29-118,3.2,6,1,2,2,2,2,6,33.3,4,1,0,1,2,8,11,1,Matches
Nicolás González,es ESP,MF,23-288,3.9,11,10,2,8,1,4,7,57.1,3,4,2,2,2,13,12,0,Matches
Matheus Nunes,pt POR,DF,27-052,3.7,3,3,0,1,2,2,4,50.0,2,4,2,2,2,5,19,1,Matches
James Trafford,eng ENG,GK,23-008,3.0,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,5,1,Matches
John Stones,eng ENG,DF,31-143,2.9,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,12,0,Matches
Abdukodir Khusanov,uz UZB,DF,21-231,2.5,7,4,4,1,2,3,4,75.0,1,3,0,3,5,12,11,0,Matches
Rayan Aït-Nouri,dz ALG,DF,24-134,2.2,9,6,7,2,0,3,7,42.9,4,4,0,4,5,14,9,0,Matches
Rico Lewis,eng ENG,DF,20-331,1.9,3,1,2,1,0,1,3,33.3,2,1,1,0,3,6,6,0,Matches
Sávio,br BRA,MF,21-191,1.9,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Matches
Omar Marmoush,eg EGY,"FW,MF",26-253,1.7,3,3,0,3,0,0,1,0.0,1,2,1,1,1,4,1,0,Matches
Rayan Cherki,fr FRA,"MF,FW",22-062,0.8,4,1,3,1,0,3,4,75.0,1,1,0,1,2,6,0,0,Matches
Nathan Aké,nl NED,DF,30-242,1.3,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,5,0,Matches
Squad Total,,,25.6,7.0,101,60,46,39,16,49,85,57.6,36,55,18,37,47,148,194,6,
Opponent Total,,,26.6,7.0,145,93,65,58,22,68,144,47.2,76,90,17,73,60,205,132,9,
