Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Moisés Caicedo,ec ECU,MF,23-350,7.0,439,429,9,8,3,1,1,1,0,0,0,0,400,1,4,Matches
Enzo Fernández,ar ARG,MF,24-274,6.9,404,377,26,13,1,2,15,2,10,7,0,0,332,1,4,Matches
João Pedro,br BRA,"FW,MF",24-022,6.5,169,157,11,0,2,1,6,0,0,0,0,0,139,1,4,Matches
Robert Sánchez,es ESP,GK,27-334,6.0,246,209,37,11,0,1,0,0,0,0,0,0,164,0,0,Matches
Pedro Neto,pt POR,FW,25-223,5.6,203,168,34,10,0,0,43,8,16,10,2,0,144,1,6,Matches
Marc Cucurella,es ESP,DF,27-088,6.0,353,312,41,2,1,1,5,39,0,0,0,0,308,0,5,Matches
Trevoh Chalobah,eng ENG,DF,26-105,5.3,419,402,15,12,2,7,3,0,0,0,0,0,377,2,1,Matches
Reece James,eng ENG,DF,25-314,4.7,356,288,68,13,3,3,22,42,13,7,1,0,300,0,4,Matches
Estêvão Willian,br BRA,FW,18-177,2.9,104,98,6,0,1,0,7,0,6,3,0,0,84,0,3,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,3.9,349,328,19,7,0,1,0,2,0,0,0,0,314,2,2,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,3.5,217,187,29,4,0,0,8,25,0,0,0,0,185,1,5,Matches
Joshua Acheampong,eng ENG,DF,19-166,2.2,152,148,4,3,0,0,0,0,0,0,0,0,135,0,2,Matches
Jorrel Hato,nl NED,DF,19-225,1.9,110,97,12,2,0,0,0,5,0,0,0,0,97,1,0,Matches
Jamie Gittens,eng ENG,FW,21-071,1.8,43,42,0,0,0,0,2,0,0,0,0,0,38,1,3,Matches
Cole Palmer,eng ENG,MF,23-165,1.6,53,52,1,0,1,0,5,0,0,0,0,0,40,0,3,Matches
Wesley Fofana,fr FRA,DF,24-305,1.4,105,97,7,0,0,0,0,7,0,0,0,0,96,1,0,Matches
Liam Delap,eng ENG,FW,22-252,1.0,15,15,0,0,0,0,1,0,0,0,0,0,9,0,0,Matches
Andrey Santos,br BRA,MF,21-168,1.9,103,95,5,4,0,0,1,0,0,0,0,0,87,3,1,Matches
Alejandro Garnacho,ar ARG,FW,21-109,1.0,28,28,0,0,0,0,3,0,0,0,0,0,22,0,0,Matches
Benoît Badiashile,fr FRA,DF,24-206,0.7,57,53,4,1,0,0,0,0,0,0,0,0,53,0,0,Matches
Facundo Buonanotte,ar ARG,MF,20-299,0.5,22,22,0,0,0,0,0,0,0,0,0,0,20,0,0,Matches
Tyrique George,eng ENG,FW,19-256,1.5,22,20,2,0,0,0,1,0,0,0,0,0,19,0,0,Matches
Filip Jørgensen,dk DEN,GK,23-185,0.9,35,28,7,3,0,0,0,0,0,0,0,0,27,0,0,Matches
Roméo Lavia,be BEL,MF,21-285,0.5,32,32,0,0,0,0,0,0,0,0,0,0,29,0,0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,24.4,7.0,4037,3685,337,93,14,17,123,131,45,27,3,0,3419,15,47,
Opponent Total,,,26.9,7.0,2755,2416,327,81,18,16,110,144,32,16,5,0,2176,12,44,
