Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
James Garner,eng ENG,"MF,DF",24-219,7.0,1,12,4,33.3,1.71,0.57,0.08,0.25,22.9,3,0,0,0.5,0.5,0.04,0.5,0.5,Matches
Jake O'Brien,ie IRL,DF,24-156,7.0,0,5,1,20.0,0.71,0.14,0.0,0.0,9.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Jordan Pickford,eng ENG,GK,31-225,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
James Tarkowski,eng ENG,DF,32-333,7.0,0,1,0,0.0,0.14,0.0,0.0,,3.4,0,0,0,0.4,0.4,0.42,-0.4,-0.4,Matches
Idrissa Gana Gueye,sn SEN,MF,36-022,6.8,1,10,2,20.0,1.46,0.29,0.1,0.5,23.6,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
Michael Keane,eng ENG,DF,32-280,6.7,1,8,2,25.0,1.19,0.3,0.13,0.5,12.4,0,0,0,0.8,0.8,0.1,0.2,0.2,Matches
Iliman Ndiaye,sn SEN,FW,25-226,6.5,3,5,4,80.0,0.77,0.61,0.4,0.5,17.9,0,1,1,2.2,1.4,0.27,0.8,0.6,Matches
Jack Grealish,eng ENG,FW,30-038,6.2,1,10,5,50.0,1.62,0.81,0.1,0.2,14.8,0,0,0,0.9,0.9,0.09,0.1,0.1,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-042,6.0,1,6,1,16.7,1.0,0.17,0.17,1.0,14.1,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Beto,gw GNB,FW,27-260,4.7,1,11,3,27.3,2.33,0.64,0.09,0.33,8.9,0,0,0,2.5,2.5,0.23,-1.5,-1.5,Matches
Vitaliy Mykolenko,ua UKR,DF,26-142,3.9,0,1,0,0.0,0.25,0.0,0.0,,31.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Tim Iroegbunam,eng ENG,MF,22-110,2.7,0,3,0,0.0,1.1,0.0,0.0,,24.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Thierno Barry,fr FRA,FW,22-362,2.3,0,4,0,0.0,1.71,0.0,0.0,,8.1,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Carlos Alcaraz,ar ARG,"MF,FW",22-322,1.8,0,3,2,66.7,1.64,1.09,0.0,0.0,17.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Tyler Dibling,eng ENG,FW,19-220,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Merlin Röhl,de GER,MF,23-105,0.3,0,1,0,0.0,3.6,0.0,0.0,,31.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Dwight McNeil,eng ENG,FW,25-330,0.2,0,2,0,0.0,9.0,0.0,0.0,,16.5,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Séamus Coleman,ie IRL,FW,37-007,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Harrison Armstrong,eng ENG,FW,18-272,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.5,7.0,9,82,24,29.3,11.71,3.43,0.1,0.33,16.3,3,1,1,9.7,8.9,0.11,-0.7,-0.9,
Opponent Total,,,26.8,7.0,7,91,22,24.2,13.0,3.14,0.07,0.27,18.0,2,1,2,9.5,8.1,0.09,-2.5,-2.1,
