Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Bart Verbruggen,nl NED,GK,23-061,7,7,630,7.0,10,1.43,22,14,59.1,2,3,2,0,0.0,1,1,0,0,0.0,Matches
Squad Total,,,26.1,7,7,630,7.0,10,1.43,22,14,59.1,2,3,2,0,0.0,1,1,0,0,0.0,
Opponent Total,,,26.4,7,7,630,7.0,10,1.43,30,19,73.3,2,3,2,1,14.3,3,2,1,0,33.3,
